info, 1, version, 2, output, /home/kromanowski/workspace/perf_tester/corpus/compiler-bridge/target/scala-2.13.0-M4/classes
header(main/background),startNs,endNs,runId,phaseId,phaseName,purpose,task-count,threadId,threadName,runNs,idleNs,cpuTimeNs,userTimeNs,allocatedByte,heapSize
header(GC),startNs,endNs,startMs,endMs,name,action,cause,threads
main,32820879217740,32820881645757,1,0,<init phase>,,0,119,pool-15-thread-6,2428017,0,2393109,0,407592,320679248 
background,32820899054322,32821162901968,1,1,parser,worker,10,124,scalac-parser-worker-1,263847646,95663,198029180,190000000,7550456,360767160 
background,32820899054359,32821163027198,1,1,parser,worker,7,125,scalac-parser-worker-2,263972839,132915,208204926,200000000,8460568,360767160 
background,32820899054356,32821163072668,1,1,parser,worker,2,126,scalac-parser-worker-3,264018312,18884,228362105,220000000,10949504,360767160 
background,32820899150863,32821163111100,1,1,parser,worker,4,127,scalac-parser-worker-4,263960237,126316,191474609,180000000,7257560,360767160 
main,32820887062897,32821163553996,1,1,parser,,0,119,pool-15-thread-6,276491099,0,23521125,20000000,1641264,360767160 
main,32821163769582,32821252904223,1,2,namer,,0,119,pool-15-thread-6,89134641,0,86988256,90000000,3305464,363439608 
main,32821253098230,32821255026230,1,3,packageobjects,,0,119,pool-15-thread-6,1928000,0,1824088,0,35512,363439608 
GC,32821511850364,32821552850364,13168, 13208,PS Scavenge,end of minor GC,Metadata GC Threshold,8
GC,32821374479179,32821554479179,13208, 13387,PS MarkSweep,end of major GC,Metadata GC Threshold,8
main,32821255234440,32825057846836,1,4,typer,,0,119,pool-15-thread-6,3802612396,0,3520065973,3500000000,174077584,298310832 
main,32825058085913,32825136553521,1,5,superaccessors,,0,119,pool-15-thread-6,78467608,0,77475853,80000000,3106888,300915928 
main,32825136832450,32825806163126,1,6,patmat,,0,119,pool-15-thread-6,669330676,0,659546887,640000000,34087392,334805416 
main,32825806359052,32825838099181,1,7,extmethods,,0,119,pool-15-thread-6,31740129,0,30306841,30000000,1137960,337410576 
main,32825838420801,32825891725505,1,8,pickler,,0,119,pool-15-thread-6,53304704,0,51284369,50000000,1872712,337410576 
GC,32827268407112,32827319407112,19114, 19164,PS Scavenge,end of minor GC,Allocation Failure,8
GC,32829088690071,32829142690071,20934, 20987,PS Scavenge,end of minor GC,Allocation Failure,8
GC,32830509735925,32830560735925,22355, 22405,PS Scavenge,end of minor GC,Allocation Failure,8
main,32825891928911,32830719062929,1,9,xsbt-api,,0,119,pool-15-thread-6,4827134018,0,4655476209,4570000000,1552247000,345498632 
main,32830719205363,32830821792116,1,10,xsbt-dependency,,0,119,pool-15-thread-6,102586753,0,101353455,90000000,8551776,358364296 
background,32830822290287,32831052406225,1,11,refchecks,worker,7,128,scalac-refchecks-worker-1,230115938,61491,125574669,120000000,3314840,381119176 
background,32830822354288,32831052541341,1,11,refchecks,worker,9,129,scalac-refchecks-worker-2,230187053,92095,158004238,150000000,5381472,381119176 
background,32830822473712,32831052601400,1,11,refchecks,worker,1,130,scalac-refchecks-worker-3,230127688,0,124197661,120000000,5659408,381119176 
background,32830822622766,32831052646654,1,11,refchecks,worker,6,131,scalac-refchecks-worker-4,230023888,58780,121721939,120000000,3021064,381119176 
main,32830821942089,32831053062405,1,11,refchecks,,0,119,pool-15-thread-6,231120316,0,1533322,10000000,25192,381119176 
main,32831053202299,32831333626591,1,12,uncurry,,0,119,pool-15-thread-6,280424292,0,269866263,270000000,8696976,393730992 
main,32831333787775,32831473624220,1,13,fields,,0,119,pool-15-thread-6,139836445,0,136299270,130000000,6986992,393730992 
main,32831473827538,32831547518122,1,14,tailcalls,,0,119,pool-15-thread-6,73690584,0,71066622,70000000,1810400,393730992 
main,32831547697006,32831968510093,1,15,specialize,,0,119,pool-15-thread-6,420813087,0,408042010,410000000,49006320,444178784 
main,32831968709354,32832070086894,1,16,explicitouter,,0,119,pool-15-thread-6,101377540,0,98482596,100000000,5288480,456790744 
main,32832070249691,32832607379088,1,17,erasure,,0,119,pool-15-thread-6,537129397,0,525915125,510000000,26830536,482014344 
