info, 1, version, 2, output, /home/kromanowski/workspace/perf_tester/corpus/compiler-bridge/target/scala-2.13.0-M4/classes
header(main/background),startNs,endNs,runId,phaseId,phaseName,purpose,task-count,threadId,threadName,runNs,idleNs,cpuTimeNs,userTimeNs,allocatedByte,heapSize
header(GC),startNs,endNs,startMs,endMs,name,action,cause,threads
main,32730555395810,32730557767171,1,0,<init phase>,,0,119,pool-15-thread-6,2371361,0,2332318,0,407640,196622576 
main,32730563433810,32730983691152,1,1,parser,,0,119,pool-15-thread-6,420257342,0,416657520,410000000,32794072,229936496 
main,32730983952988,32731096513466,1,2,namer,,0,119,pool-15-thread-6,112560478,0,111498933,110000000,3263960,233309056 
main,32731096687616,32731098450968,1,3,packageobjects,,0,119,pool-15-thread-6,1763352,0,1756147,10000000,35536,233309056 
GC,32731328650386,32731371650386,13896, 13938,PS Scavenge,end of minor GC,Metadata GC Threshold,8
GC,32731213365856,32731374365856,13938, 14098,PS MarkSweep,end of major GC,Metadata GC Threshold,8
main,32731098584549,32734906944227,1,4,typer,,0,119,pool-15-thread-6,3808359678,0,3568144524,3550000000,174275368,290646968 
main,32734907164052,32734993412869,1,5,superaccessors,,0,119,pool-15-thread-6,86248817,0,84835727,90000000,3101248,293107160 
main,32734993573479,32735718052986,1,6,patmat,,0,119,pool-15-thread-6,724479507,0,713267999,710000000,34176112,327586088 
main,32735718221605,32735751570157,1,7,extmethods,,0,119,pool-15-thread-6,33348552,0,31929102,30000000,1147648,327586088 
main,32735752587547,32735815290459,1,8,pickler,,0,119,pool-15-thread-6,62702912,0,61424862,60000000,1872896,330050368 
GC,32736381204681,32736417204681,19113, 19148,PS Scavenge,end of minor GC,Allocation Failure,8
GC,32737795728620,32737839728620,20528, 20571,PS Scavenge,end of minor GC,Allocation Failure,8
GC,32739264355976,32739320355976,21997, 22052,PS Scavenge,end of minor GC,Allocation Failure,8
GC,32740186581977,32740242581977,22919, 22974,PS Scavenge,end of minor GC,Allocation Failure,8
GC,32741044897722,32741102897722,23777, 23834,PS Scavenge,end of minor GC,Allocation Failure,8
main,32735815440081,32741238660392,1,9,xsbt-api,,0,119,pool-15-thread-6,5423220311,0,5156606482,5150000000,1640115120,320532488 
main,32741238821083,32741378799954,1,10,xsbt-dependency,,0,119,pool-15-thread-6,139978871,0,137549428,130000000,8393720,330166640 
main,32741379024140,32741777211303,1,11,refchecks,,0,119,pool-15-thread-6,398187163,0,385361045,380000000,15884376,339731200 
main,32741777396151,32742073224075,1,12,uncurry,,0,119,pool-15-thread-6,295827924,0,288334548,290000000,8735296,349295816 
main,32742073434416,32742230618358,1,13,fields,,0,119,pool-15-thread-6,157183942,0,149846580,150000000,7041496,358860400 
main,32742230824018,32742304095320,1,14,tailcalls,,0,119,pool-15-thread-6,73271302,0,71160776,70000000,1790320,358860400 
