info, 1, version, 2, output, /home/kromanowski/workspace/perf_tester/corpus/compiler-bridge/target/scala-2.13.0-M4/classes
header(main/background),startNs,endNs,runId,phaseId,phaseName,purpose,task-count,threadId,threadName,runNs,idleNs,cpuTimeNs,userTimeNs,allocatedByte,heapSize
header(GC),startNs,endNs,startMs,endMs,name,action,cause,threads
main,32907276684375,32907279689677,1,0,<init phase>,,0,119,pool-15-thread-5,3005302,0,2943180,0,429648,184333040 
main,32907285286784,32907717337945,1,1,parser,,0,119,pool-15-thread-5,432051161,0,427928636,420000000,31637520,216288208 
main,32907717570168,32907849816532,1,2,namer,,0,119,pool-15-thread-5,132246364,0,130469254,130000000,3162352,219672888 
main,32907850037741,32907851499776,1,3,packageobjects,,0,119,pool-15-thread-5,1462035,0,1433288,0,28032,219672888 
GC,32908493389413,32908535389413,14017, 14058,PS Scavenge,end of minor GC,Metadata GC Threshold,8
GC,32908336608577,32908538608577,14059, 14260,PS MarkSweep,end of major GC,Metadata GC Threshold,8
main,32907851669956,32911607643643,1,4,typer,,0,119,pool-15-thread-5,3755973687,0,3439809654,3390000000,153943976,249244544 
main,32911607845643,32911684050654,1,5,superaccessors,,0,119,pool-15-thread-5,76205011,0,74433873,80000000,2979312,251997584 
main,32911684222296,32912390406222,1,6,patmat,,0,119,pool-15-thread-5,706183926,0,672998852,670000000,31649192,287057400 
main,32912390586217,32912416736387,1,7,extmethods,,0,119,pool-15-thread-5,26150170,0,25647236,20000000,1087320,287057400 
main,32912417254019,32912469462366,1,8,pickler,,0,119,pool-15-thread-5,52208347,0,50598678,60000000,1820144,289810440 
GC,32913898678527,32913962678527,19631, 19694,PS Scavenge,end of minor GC,Allocation Failure,8
GC,32915811816755,32915860816755,21544, 21592,PS Scavenge,end of minor GC,Allocation Failure,8
GC,32916560156901,32916602156901,22293, 22334,PS Scavenge,end of minor GC,Allocation Failure,8
GC,32918295271553,32918433271553,24027, 24164,PS Scavenge,end of minor GC,Allocation Failure,8
main,32912469663036,32918854212599,1,9,xsbt-api,,0,119,pool-15-thread-5,6384549563,0,5995697303,5960000000,1474849056,372552768 
main,32918854376294,32918998015556,1,10,xsbt-dependency,,0,119,pool-15-thread-5,143639262,0,142442567,130000000,8776888,380741352 
main,32918998207949,32919496511205,1,11,refchecks,,0,119,pool-15-thread-5,498303256,0,485421583,490000000,10706600,396831632 
main,32919496788171,32919785653845,1,12,uncurry,,0,119,pool-15-thread-5,288865674,0,284905915,280000000,6800720,404876784 
main,32919785918709,32920004832331,1,13,fields,,0,119,pool-15-thread-5,218913622,0,215063796,210000000,7140984,405209696 
main,32920005074372,32920120785370,1,14,tailcalls,,0,119,pool-15-thread-5,115710998,0,112770166,110000000,1466224,413254904 
main,32920121057818,32920781262784,1,15,specialize,,0,119,pool-15-thread-5,660204966,0,652042447,640000000,42911104,453840824 
main,32920781536870,32920976978464,1,16,explicitouter,,0,119,pool-15-thread-5,195441594,0,166485566,170000000,4321584,461886040 
main,32920977240812,32922120046883,1,17,erasure,,0,119,pool-15-thread-5,1142806071,0,1037999850,1020000000,21299632,477976296 
main,32922120220180,32922146774980,1,18,posterasure,,0,119,pool-15-thread-5,26554800,0,25993499,30000000,1379512,477976296 
main,32922146923623,32922286267251,1,19,lambdalift,,0,119,pool-15-thread-5,139343628,0,121183669,120000000,4130512,486021464 
main,32922286489141,32922420460237,1,20,constructors,,0,119,pool-15-thread-5,133971096,0,120826534,120000000,3509120,486021464 
main,32922420726682,32922471886505,1,21,flatten,,0,119,pool-15-thread-5,51159823,0,41893330,40000000,894840,487922048 
main,32922472219661,32922755766234,1,22,mixin,,0,119,pool-15-thread-5,283546573,0,271116380,270000000,11228816,504018056 
main,32922755918642,32922784378693,1,23,cleanup,,0,119,pool-15-thread-5,28460051,0,28467065,30000000,779832,504018056 
main,32922784564416,32922932248445,1,24,delambdafy,,0,119,pool-15-thread-5,147684029,0,136988896,140000000,4244272,504018056 
main,32922932416336,32924440093035,1,25,jvm,,0,119,pool-15-thread-5,1507676699,0,1270187511,1230000000,48386448,552300464 
main,32924440322265,32924449151978,1,26,xsbt-analyzer,,0,119,pool-15-thread-5,8829713,0,8542305,0,496640,560345784 
info, 2, version, 2, output, /home/kromanowski/workspace/perf_tester/corpus/compiler-bridge/target/scala-2.13.0-M4/classes
header(main/background),startNs,endNs,runId,phaseId,phaseName,purpose,task-count,threadId,threadName,runNs,idleNs,cpuTimeNs,userTimeNs,allocatedByte,heapSize
header(GC),startNs,endNs,startMs,endMs,name,action,cause,threads
main,32926306241438,32926307593321,2,0,<init phase>,,0,139,pool-17-thread-11,1351883,0,1349991,0,339120,258327800 
main,32926308310815,32926490958022,2,1,parser,,0,139,pool-17-thread-11,182647207,0,175960284,180000000,26976560,284265432 
main,32926491537491,32926500627880,2,2,namer,,0,139,pool-17-thread-11,9090389,0,7560199,0,446320,285630584 
main,32926500773286,32926501002252,2,3,packageobjects,,0,139,pool-17-thread-11,228966,0,228106,0,5000,285630584 
main,32926501083465,32928272890141,2,4,typer,,0,139,pool-17-thread-11,1771806676,0,1445630553,1450000000,114064936,399252016 
main,32928273105182,32928298231485,2,5,superaccessors,,0,139,pool-17-thread-11,25126303,0,23390278,20000000,2351168,401982288 
main,32928298416969,32928591453988,2,6,patmat,,0,139,pool-17-thread-11,293037019,0,280401285,280000000,18334936,419729728 
main,32928591652279,32928599330960,2,7,extmethods,,0,139,pool-17-thread-11,7678681,0,7682754,10000000,318520,421094848 
main,32928599512762,32928618040911,2,8,pickler,,0,139,pool-17-thread-11,18528149,0,18343287,20000000,1250888,421094848 
GC,32929936444606,32930045444606,35669, 35777,PS Scavenge,end of minor GC,Allocation Failure,8
GC,32931248715055,32931348715055,36981, 37080,PS Scavenge,end of minor GC,Allocation Failure,8
main,32928618208071,32932109414318,2,9,xsbt-api,,0,139,pool-17-thread-11,3491206247,0,3270067561,3250000000,1426401704,758809512 
main,32932109590714,32932155866673,2,10,xsbt-dependency,,0,139,pool-17-thread-11,46275959,0,44950476,50000000,6604400,768303456 
main,32932156043931,32932274650702,2,11,refchecks,,0,139,pool-17-thread-11,118606771,0,118342389,110000000,7832496,777797440 
main,32932274791414,32932358815188,2,12,uncurry,,0,139,pool-17-thread-11,84023774,0,83925185,80000000,5227360,777797440 
main,32932358966905,32932408658072,2,13,fields,,0,139,pool-17-thread-11,49691167,0,49109576,50000000,5225800,787291368 
main,32932408801642,32932430519779,2,14,tailcalls,,0,139,pool-17-thread-11,21718137,0,21614697,20000000,839480,787291368 
main,32932430736104,32932605624198,2,15,specialize,,0,139,pool-17-thread-11,174888094,0,173929530,170000000,38954736,825267176 
main,32932605818585,32932651270405,2,16,explicitouter,,0,139,pool-17-thread-11,45451820,0,45082777,40000000,3497736,825267176 
main,32932651458796,32932923572729,2,17,erasure,,0,139,pool-17-thread-11,272113933,0,269492153,270000000,18225808,844375576 
main,32932923733978,32932937667558,2,18,posterasure,,0,139,pool-17-thread-11,13933580,0,13939913,20000000,1180936,844375576 
main,32932937856226,32932980168519,2,19,lambdalift,,0,139,pool-17-thread-11,42312293,0,41985941,40000000,2651992,853869528 
main,32932980356657,32933021131360,2,20,constructors,,0,139,pool-17-thread-11,40774703,0,40362944,40000000,2162040,853869528 
main,32933021306643,32933030849191,2,21,flatten,,0,139,pool-17-thread-11,9542548,0,9547513,10000000,586528,853869528 
main,32933031030895,32933150993222,2,22,mixin,,0,139,pool-17-thread-11,119962327,0,119304063,120000000,9898504,863363456 
main,32933151172345,32933158277409,2,23,cleanup,,0,139,pool-17-thread-11,7105064,0,6868215,10000000,556512,863363456 
main,32933158423849,32933202691197,2,24,delambdafy,,0,139,pool-17-thread-11,44267348,0,43374459,40000000,3186288,863363456 
main,32933202838723,32933644992466,2,25,jvm,,0,139,pool-17-thread-11,442153743,0,414416840,410000000,35130848,903458912 
main,32933645141609,32933647857239,2,26,xsbt-analyzer,,0,139,pool-17-thread-11,2715630,0,2720544,0,334880,903458912 
info, 3, version, 2, output, /home/kromanowski/workspace/perf_tester/corpus/compiler-bridge/target/scala-2.13.0-M4/classes
header(main/background),startNs,endNs,runId,phaseId,phaseName,purpose,task-count,threadId,threadName,runNs,idleNs,cpuTimeNs,userTimeNs,allocatedByte,heapSize
header(GC),startNs,endNs,startMs,endMs,name,action,cause,threads
main,32934340447286,32934342429843,3,0,<init phase>,,0,156,pool-19-thread-8,1982557,0,1969025,0,339120,1008385272 
main,32934343341117,32934482379016,3,1,parser,,0,156,pool-19-thread-8,139037899,0,133313448,130000000,27057008,1036168704 
main,32934482555944,32934486542874,3,2,namer,,0,156,pool-19-thread-8,3986930,0,3992306,10000000,445632,1036168704 
main,32934486713434,32934486943294,3,3,packageobjects,,0,156,pool-19-thread-8,229860,0,234072,0,2456,1036168704 
GC,32934887557045,32935002557045,40620, 40734,PS Scavenge,end of minor GC,Allocation Failure,8
main,32934487030864,32935450954742,3,4,typer,,0,156,pool-19-thread-8,963923878,0,832444900,820000000,111924264,417424392 
main,32935451075306,32935460824196,3,5,superaccessors,,0,156,pool-19-thread-8,9748890,0,9637453,10000000,2323384,419134520 
main,32935460957854,32935625318829,3,6,patmat,,0,156,pool-19-thread-8,164360975,0,162532867,160000000,18186336,438013952 
main,32935625451871,32935628978623,3,7,extmethods,,0,156,pool-19-thread-8,3526752,0,3531190,0,314152,438013952 
main,32935629106789,32935637776646,3,8,pickler,,0,156,pool-19-thread-8,8669857,0,8512077,10000000,1247840,438013952 
GC,32936951779319,32937054779319,42684, 42786,PS Scavenge,end of minor GC,Allocation Failure,8
main,32935637895578,32938398176647,3,9,xsbt-api,,0,156,pool-19-thread-8,2760281069,0,2655891510,2650000000,1423343416,1155000320 
main,32938398350253,32938429268341,3,10,xsbt-dependency,,0,156,pool-19-thread-8,30918088,0,30427023,30000000,6266720,1162725888 
main,32938429402259,32938592675527,3,11,refchecks,,0,156,pool-19-thread-8,163273268,0,159189549,160000000,7753784,1170451440 
main,32938592821016,32938709279357,3,12,uncurry,,0,156,pool-19-thread-8,116458341,0,114804291,110000000,5184440,1178177136 
main,32938709440450,32938767960547,3,13,fields,,0,156,pool-19-thread-8,58520097,0,58100260,60000000,5164616,1178177136 
main,32938768201590,32938783723998,3,14,tailcalls,,0,156,pool-19-thread-8,15522408,0,15541538,10000000,834808,1178177136 
main,32938784045550,32939001284883,3,15,specialize,,0,156,pool-19-thread-8,217239333,0,213068579,210000000,39079344,1216805008 
main,32939001447799,32939032247169,3,16,explicitouter,,0,156,pool-19-thread-8,30799370,0,30768259,30000000,3450200,1224530584 
main,32939032391311,32939236906239,3,17,erasure,,0,156,pool-19-thread-8,204514928,0,203889506,210000000,17368672,1240186952 
main,32939237068240,32939251467138,3,18,posterasure,,0,156,pool-19-thread-8,14398898,0,14423373,10000000,1160816,1240186952 
main,32939251643317,32939287134415,3,19,lambdalift,,0,156,pool-19-thread-8,35491098,0,35047074,40000000,2573616,1247912536 
main,32939287250017,32939321114465,3,20,constructors,,0,156,pool-19-thread-8,33864448,0,33799976,30000000,2107536,1247912536 
main,32939321251523,32939330287927,3,21,flatten,,0,156,pool-19-thread-8,9036404,0,9051218,10000000,574320,1247912536 
main,32939330626034,32939412329308,3,22,mixin,,0,156,pool-19-thread-8,81703274,0,81701730,80000000,9896056,1255638152 
main,32939412626572,32939418325129,3,23,cleanup,,0,156,pool-19-thread-8,5698557,0,5467358,10000000,542664,1255638152 
main,32939418475833,32939463803199,3,24,delambdafy,,0,156,pool-19-thread-8,45327366,0,44821598,40000000,3105208,1263417024 
main,32939463968247,32939762504229,3,25,jvm,,0,156,pool-19-thread-8,298535982,0,296906213,280000000,33864864,1294319400 
main,32939762660081,32939764694732,3,26,xsbt-analyzer,,0,156,pool-19-thread-8,2034651,0,2037204,0,334880,1294319400 
info, 4, version, 2, output, /home/kromanowski/workspace/perf_tester/corpus/compiler-bridge/target/scala-2.13.0-M4/classes
header(main/background),startNs,endNs,runId,phaseId,phaseName,purpose,task-count,threadId,threadName,runNs,idleNs,cpuTimeNs,userTimeNs,allocatedByte,heapSize
header(GC),startNs,endNs,startMs,endMs,name,action,cause,threads
main,32940659354036,32940660598078,4,0,<init phase>,,0,168,pool-21-thread-5,1244042,0,1236780,0,339120,403331640 
main,32940661118115,32940734359760,4,1,parser,,0,168,pool-21-thread-5,73241645,0,72373639,60000000,27018760,430480552 
main,32940734501554,32940738416320,4,2,namer,,0,168,pool-21-thread-5,3914766,0,3446854,0,444232,430480552 
main,32940738531322,32940738658571,4,3,packageobjects,,0,168,pool-21-thread-5,127249,0,126710,0,2456,430480552 
main,32940738707641,32941416885386,4,4,typer,,0,168,pool-21-thread-5,678177745,0,672356304,670000000,111303704,541976800 
main,32941417039428,32941432736605,4,5,superaccessors,,0,168,pool-21-thread-5,15697177,0,15700645,10000000,2277384,543673608 
main,32941432881934,32941631427383,4,6,patmat,,0,168,pool-21-thread-5,198545449,0,195543719,200000000,18100344,562338472 
main,32941631554824,32941635775086,4,7,extmethods,,0,168,pool-21-thread-5,4220262,0,4098391,0,310856,562338472 
main,32941635952583,32941644532209,4,8,pickler,,0,168,pool-21-thread-5,8579626,0,8429354,10000000,1247288,564035256 
GC,32943132667842,32943213667842,48865, 48945,PS Scavenge,end of minor GC,Allocation Failure,8
main,32941644672168,32945025123747,4,9,xsbt-api,,0,168,pool-21-thread-5,3380451579,0,3286364160,3280000000,1422658144,1147130704 
main,32945025267678,32945047776634,4,10,xsbt-dependency,,0,168,pool-21-thread-5,22508956,0,22511618,20000000,6259576,1158794936 
main,32945047888664,32945147551470,4,11,refchecks,,0,168,pool-21-thread-5,99662806,0,98398289,100000000,7467576,1158794936 
main,32945147747648,32945217917202,4,12,uncurry,,0,168,pool-21-thread-5,70169554,0,68561038,70000000,4664424,1170458984 
main,32945218107231,32945266718854,4,13,fields,,0,168,pool-21-thread-5,48611623,0,47945348,50000000,5113680,1170458984 
main,32945266868261,32945279541063,4,14,tailcalls,,0,168,pool-21-thread-5,12672802,0,12680857,10000000,788376,1170458984 
main,32945279786386,32945543082327,4,15,specialize,,0,168,pool-21-thread-5,263295941,0,260240056,260000000,38413968,1205557824 
main,32945543301139,32945586069932,4,16,explicitouter,,0,168,pool-21-thread-5,42768793,0,42774218,40000000,3384368,1217221904 
main,32945586262369,32945821427725,4,17,erasure,,0,168,pool-21-thread-5,235165356,0,232635969,240000000,17104800,1228885984 
main,32945821592839,32945836911990,4,18,posterasure,,0,168,pool-21-thread-5,15319151,0,15325343,10000000,1080608,1228885984 
main,32945837100110,32945866200080,4,19,lambdalift,,0,168,pool-21-thread-5,29099970,0,29024333,30000000,2513184,1228885984 
main,32945866356858,32945896585571,4,20,constructors,,0,168,pool-21-thread-5,30228713,0,30229868,30000000,2088440,1240549968 
main,32945896771718,32945906036633,4,21,flatten,,0,168,pool-21-thread-5,9264915,0,9268829,10000000,573200,1240549968 
main,32945906193028,32946001321483,4,22,mixin,,0,168,pool-21-thread-5,95128455,0,92511625,90000000,9705344,1240549968 
main,32946001486961,32946028522837,4,23,cleanup,,0,168,pool-21-thread-5,27035876,0,25373836,30000000,520168,1252213976 
main,32946028745582,32946078744760,4,24,delambdafy,,0,168,pool-21-thread-5,49999178,0,50003473,50000000,2999072,1252213976 
main,32946078947053,32946361935443,4,25,jvm,,0,168,pool-21-thread-5,282988390,0,281957880,270000000,33259944,1287205952 
main,32946362081110,32946364119177,4,26,xsbt-analyzer,,0,168,pool-21-thread-5,2038067,0,2041109,0,333536,1287205952 
info, 5, version, 2, output, /home/kromanowski/workspace/perf_tester/corpus/compiler-bridge/target/scala-2.13.0-M4/classes
header(main/background),startNs,endNs,runId,phaseId,phaseName,purpose,task-count,threadId,threadName,runNs,idleNs,cpuTimeNs,userTimeNs,allocatedByte,heapSize
header(GC),startNs,endNs,startMs,endMs,name,action,cause,threads
main,32947160406103,32947161780821,5,0,<init phase>,,0,189,pool-23-thread-6,1374718,0,1373380,0,339120,1391157040 
main,32947162343795,32947253290573,5,1,parser,,0,189,pool-23-thread-6,90946778,0,90088171,90000000,27017512,1419016464 
main,32947253439200,32947257502650,5,2,namer,,0,189,pool-23-thread-6,4063450,0,3925364,10000000,439592,1419016464 
main,32947257691415,32947257859125,5,3,packageobjects,,0,189,pool-23-thread-6,167710,0,166745,0,2456,1419016464 
main,32947257962393,32948320544638,5,4,typer,,0,189,pool-23-thread-6,1062582245,0,1040308096,1020000000,110775448,1530322848 
main,32948320724548,32948345330904,5,5,superaccessors,,0,189,pool-23-thread-6,24606356,0,23834027,20000000,2193768,1531961616 
main,32948345576703,32948794954851,5,6,patmat,,0,189,pool-23-thread-6,449378148,0,404127216,390000000,17958808,1549988376 
main,32948795189476,32948803585310,5,7,extmethods,,0,189,pool-23-thread-6,8395834,0,8388966,10000000,297616,1549988376 
main,32948803853654,32948820247307,5,8,pickler,,0,189,pool-23-thread-6,16393653,0,16398248,10000000,1247288,1551635352 
GC,32948870874173,32948909874173,54603, 54641,PS Scavenge,end of minor GC,Allocation Failure,8
GC,32951324395466,32951387395466,57057, 57119,PS Scavenge,end of minor GC,Allocation Failure,8
main,32948820506624,32951810572056,5,9,xsbt-api,,0,189,pool-23-thread-6,2990065432,0,2881393888,2870000000,1422315936,682573936 
main,32951810750845,32951833566297,5,10,xsbt-dependency,,0,189,pool-23-thread-6,22815452,0,22716784,20000000,6229328,694269336 
main,32951833700456,32951934366766,5,11,refchecks,,0,189,pool-23-thread-6,100666310,0,100387520,100000000,7421992,706048824 
main,32951934541813,32951986852130,5,12,uncurry,,0,189,pool-23-thread-6,52310317,0,51133605,50000000,4558624,706048824 
main,32951987020354,32952034158137,5,13,fields,,0,189,pool-23-thread-6,47137783,0,46706146,50000000,5046296,706048824 
main,32952034322840,32952043514866,5,14,tailcalls,,0,189,pool-23-thread-6,9192026,0,9196789,10000000,784920,717744224 
main,32952043669533,32952238695667,5,15,specialize,,0,189,pool-23-thread-6,195026134,0,194460558,190000000,37570584,752830440 
main,32952238857133,32952270395729,5,16,explicitouter,,0,189,pool-23-thread-6,31538596,0,31112435,30000000,3355128,752830440 
main,32952270699439,32952481451607,5,17,erasure,,0,189,pool-23-thread-6,210752168,0,208690996,200000000,16710216,764525840 
main,32952481621128,32952499957898,5,18,posterasure,,0,189,pool-23-thread-6,18336770,0,18247420,20000000,1078864,776221240 
main,32952500177039,32952535381602,5,19,lambdalift,,0,189,pool-23-thread-6,35204563,0,33664450,30000000,2504808,776221240 
main,32952535663630,32952579942815,5,20,constructors,,0,189,pool-23-thread-6,44279185,0,42526810,40000000,2080576,776221240 
main,32952580132584,32952586108188,5,21,flatten,,0,189,pool-23-thread-6,5975604,0,5981091,10000000,553872,776221240 
main,32952586259875,32952669959808,5,22,mixin,,0,189,pool-23-thread-6,83699933,0,83104220,80000000,9665816,787916648 
main,32952670116013,32952676634659,5,23,cleanup,,0,189,pool-23-thread-6,6518646,0,6523302,10000000,496840,787916648 
main,32952676783584,32952714412981,5,24,delambdafy,,0,189,pool-23-thread-6,37629397,0,36539862,30000000,2961656,787916648 
main,32952714629140,32952987843440,5,25,jvm,,0,189,pool-23-thread-6,273214300,0,271413366,260000000,32962040,823003056 
main,32952987977344,32952989688197,5,26,xsbt-analyzer,,0,189,pool-23-thread-6,1710853,0,1712617,0,269696,823003056 
info, 6, version, 2, output, /home/kromanowski/workspace/perf_tester/corpus/compiler-bridge/target/scala-2.13.0-M4/classes
header(main/background),startNs,endNs,runId,phaseId,phaseName,purpose,task-count,threadId,threadName,runNs,idleNs,cpuTimeNs,userTimeNs,allocatedByte,heapSize
header(GC),startNs,endNs,startMs,endMs,name,action,cause,threads
main,32953725007125,32953726379459,6,0,<init phase>,,0,201,pool-25-thread-3,1372334,0,1322378,0,339120,927301032 
main,32953727101333,32953801524637,6,1,parser,,0,201,pool-25-thread-3,74423304,0,74427314,80000000,27006456,952825232 
main,32953801665143,32953804485759,6,2,namer,,0,201,pool-25-thread-3,2820616,0,2825012,0,439240,954952456 
main,32953804610566,32953804741514,6,3,packageobjects,,0,201,pool-25-thread-3,130948,0,131026,0,2456,954952456 
main,32953804798073,32954741053551,6,4,typer,,0,201,pool-25-thread-3,936255478,0,933019905,930000000,110529176,1065162592 
main,32954741289242,32954758565543,6,5,superaccessors,,0,201,pool-25-thread-3,17276301,0,17058170,20000000,2133888,1067289648 
main,32954758751059,32954991141118,6,6,patmat,,0,201,pool-25-thread-3,232390059,0,231823263,230000000,17632904,1084305912 
main,32954991333679,32954996392451,6,7,extmethods,,0,201,pool-25-thread-3,5058772,0,4948473,0,295624,1084305912 
main,32954996572560,32955005582602,6,8,pickler,,0,201,pool-25-thread-3,9010042,0,7956695,10000000,1230040,1086433432 
GC,32957358418919,32957416418919,63091, 63148,PS Scavenge,end of minor GC,Allocation Failure,8
main,32955005796957,32958769196220,6,9,xsbt-api,,0,201,pool-25-thread-3,3763399263,0,3704384740,3680000000,1422022840,1134089504 
main,32958769322886,32958791086264,6,10,xsbt-dependency,,0,201,pool-25-thread-3,21763378,0,21665320,20000000,6224968,1134089504 
main,32958791205399,32958856043673,6,11,refchecks,,0,201,pool-25-thread-3,64838274,0,64833245,60000000,7337144,1143946240 
