info, 1, version, 2, output, /home/kromanowski/workspace/perf_tester/corpus/compiler-bridge/target/scala-2.13.0-M4/classes
header(main/background),startNs,endNs,runId,phaseId,phaseName,purpose,task-count,threadId,threadName,runNs,idleNs,cpuTimeNs,userTimeNs,allocatedByte,heapSize
header(GC),startNs,endNs,startMs,endMs,name,action,cause,threads
GC,31805162736170,31805187736170,14779, 14803,PS Scavenge,end of minor GC,Allocation Failure,8
main,31805238805765,31805241547043,1,0,<init phase>,,0,161,pool-15-thread-7,2741278,0,2708021,0,429816,124751704 
main,31805246238951,31805658849717,1,1,parser,,0,161,pool-15-thread-7,412610766,0,407204370,410000000,31500112,156761752 
main,31805659116389,31805768539125,1,2,namer,,0,161,pool-15-thread-7,109422736,0,108186506,100000000,3176592,160309920 
main,31805768729955,31805770075736,1,3,packageobjects,,0,161,pool-15-thread-7,1345781,0,1335863,0,28056,160309920 
main,31805770235177,31809123201706,1,4,typer,,0,161,pool-15-thread-7,3352966529,0,3296909606,3270000000,154634872,316132680 
main,31809123435875,31809244204571,1,5,superaccessors,,0,161,pool-15-thread-7,120768696,0,119287382,120000000,2948016,319680744 
main,31809244485633,31810116230637,1,6,patmat,,0,161,pool-15-thread-7,871745004,0,853311030,840000000,31578536,349867088 
main,31810116524748,31810167245185,1,7,extmethods,,0,161,pool-15-thread-7,50720437,0,47907201,50000000,1091328,351641120 
main,31810168143978,31810263778998,1,8,pickler,,0,161,pool-15-thread-7,95635020,0,92755835,90000000,1820456,353419264 
GC,31812052126800,31812152126800,21674, 21773,PS Scavenge,end of minor GC,Allocation Failure,8
GC,31813838395429,31813893395429,23460, 23514,PS Scavenge,end of minor GC,Allocation Failure,8
GC,31815083806705,31815164806705,24706, 24786,PS Scavenge,end of minor GC,Allocation Failure,8
main,31810263988720,31815621151020,1,9,xsbt-api,,0,161,pool-15-thread-7,5357162300,0,5108651019,5060000000,1482116496,515898296 
main,31815621296512,31815720042175,1,10,xsbt-dependency,,0,161,pool-15-thread-7,98745663,0,96532322,100000000,8296912,524484376 
main,31815720233809,31815998988314,1,11,refchecks,,0,161,pool-15-thread-7,278754505,0,270586451,270000000,10623944,533038704 
main,31815999161501,31816195439226,1,12,uncurry,,0,161,pool-15-thread-7,196277725,0,192665581,190000000,6799216,541593056 
main,31816195596989,31816325152661,1,13,fields,,0,161,pool-15-thread-7,129555672,0,127671502,130000000,7144160,550147384 
main,31816325311843,31816384836332,1,14,tailcalls,,0,161,pool-15-thread-7,59524489,0,57123941,50000000,1466664,550147384 
main,31816384984445,31816820087389,1,15,specialize,,0,161,pool-15-thread-7,435102944,0,425174723,430000000,42952256,592919232 
GC,31817141195513,31817220195513,26449, 26527,PS Scavenge,end of minor GC,Metadata GC Threshold,8
GC,31816905869933,31817220869933,26527, 26841,PS MarkSweep,end of major GC,Metadata GC Threshold,8
main,31816820325453,31817316273676,1,16,explicitouter,,0,161,pool-15-thread-7,495948223,0,102002355,100000000,4555232,174853624 
main,31817316497247,31817805880828,1,17,erasure,,0,161,pool-15-thread-7,489383581,0,474891299,470000000,21287768,198885264 
main,31817806064539,31817836303489,1,18,posterasure,,0,161,pool-15-thread-7,30238950,0,29096699,30000000,1379600,198885264 
main,31817836458888,31817936017911,1,19,lambdalift,,0,161,pool-15-thread-7,99559023,0,95715781,100000000,4134968,198885264 
