info, 1, version, 2, output, /home/kromanowski/workspace/perf_tester/corpus/compiler-bridge/target/scala-2.13.0-M4/classes
header(main/background),startNs,endNs,runId,phaseId,phaseName,purpose,task-count,threadId,threadName,runNs,idleNs,cpuTimeNs,userTimeNs,allocatedByte,heapSize
header(GC),startNs,endNs,startMs,endMs,name,action,cause,threads
GC,32353611050850,32353636050850,14982, 15006,PS Scavenge,end of minor GC,Allocation Failure,8
main,32354302186184,32354304382569,1,0,<init phase>,,0,162,pool-15-thread-7,2196385,0,2157447,0,407616,164115208 
main,32354310059122,32354738858392,1,1,parser,,0,162,pool-15-thread-7,428799270,0,421145515,410000000,32890824,196900928 
main,32354739062880,32354835967195,1,2,namer,,0,162,pool-15-thread-7,96904315,0,96272035,100000000,3282384,200648752 
main,32354836132294,32354837761358,1,3,packageobjects,,0,162,pool-15-thread-7,1629064,0,1630233,0,35536,200648752 
main,32354837887074,32359713728098,1,4,typer,,0,162,pool-15-thread-7,4875841024,0,4758368244,4720000000,173465480,374464672 
main,32359714501787,32359889347466,1,5,superaccessors,,0,162,pool-15-thread-7,174845679,0,169887564,170000000,3090312,378194216 
main,32359889633186,32361096362026,1,6,patmat,,0,162,pool-15-thread-7,1206728840,0,1170886008,1150000000,34072424,411847976 
main,32361096645747,32361153639630,1,7,extmethods,,0,162,pool-15-thread-7,56993883,0,56109095,50000000,1141800,412780424 
main,32361154647662,32361226171508,1,8,pickler,,0,162,pool-15-thread-7,71523846,0,70859671,70000000,1859768,414645240 
GC,32361856380827,32361909380827,23232, 23284,PS Scavenge,end of minor GC,Allocation Failure,8
GC,32363406518992,32363494518992,24783, 24870,PS Scavenge,end of minor GC,Allocation Failure,8
GC,32364559161014,32364604161014,25935, 25979,PS Scavenge,end of minor GC,Allocation Failure,8
GC,32365722179741,32365816179741,27098, 27191,PS Scavenge,end of minor GC,Allocation Failure,8
main,32361226316142,32366288180010,1,9,xsbt-api,,0,162,pool-15-thread-7,5061863868,0,4770383063,4760000000,1586288848,517085360 
main,32366288313904,32366394956196,1,10,xsbt-dependency,,0,162,pool-15-thread-7,106642292,0,104678858,100000000,8626336,525719288 
main,32366395218202,32366664149784,1,11,refchecks,,0,162,pool-15-thread-7,268931582,0,262328972,260000000,15810248,542962192 
main,32366664289470,32366840994741,1,12,uncurry,,0,162,pool-15-thread-7,176705271,0,173581542,170000000,9122504,551583608 
main,32366841124160,32366946541038,1,13,fields,,0,162,pool-15-thread-7,105416878,0,103083823,100000000,7013168,560205024 
main,32366946696803,32366999665448,1,14,tailcalls,,0,162,pool-15-thread-7,52968645,0,51822428,50000000,1785384,560205024 
GC,32367325850885,32367404850885,28388, 28466,PS Scavenge,end of minor GC,Metadata GC Threshold,8
GC,32367091285105,32367405285105,28466, 28779,PS MarkSweep,end of major GC,Metadata GC Threshold,8
main,32366999804005,32367855626877,1,15,specialize,,0,162,pool-15-thread-7,855822872,0,452854390,450000000,49564472,213168056 
