info, 1, version, 2, output, /home/kromanowski/workspace/perf_tester/corpus/compiler-bridge/target/scala-2.13.0-M4/classes
header(main/background),startNs,endNs,runId,phaseId,phaseName,purpose,task-count,threadId,threadName,runNs,idleNs,cpuTimeNs,userTimeNs,allocatedByte,heapSize
header(GC),startNs,endNs,startMs,endMs,name,action,cause,threads
GC,30741269755297,30741306755297,16949, 16985,PS Scavenge,end of minor GC,Allocation Failure,8
main,30741690274625,30741694579565,1,0,<init phase>,,0,178,pool-15-thread-5,4304940,0,4232355,0,407616,153103112 
main,30741700053926,30742180249320,1,1,parser,,0,178,pool-15-thread-5,480195394,0,475730236,480000000,32886040,185745656 
main,30742180518774,30742282453516,1,2,namer,,0,178,pool-15-thread-5,101934742,0,100712307,100000000,3265296,189986960 
main,30742282683850,30742284713064,1,3,packageobjects,,0,178,pool-15-thread-5,2029214,0,1991318,0,35536,189986960 
GC,30744070771323,30744114771323,19526, 19569,PS Scavenge,end of minor GC,Metadata GC Threshold,8
GC,30743883308388,30744115308388,19569, 19800,PS MarkSweep,end of major GC,Metadata GC Threshold,8
main,30742284855393,30746419217776,1,4,typer,,0,178,pool-15-thread-5,4134362383,0,3803727309,3780000000,175468200,228945768 
main,30746419434034,30746506348293,1,5,superaccessors,,0,178,pool-15-thread-5,86914259,0,85106704,80000000,3083768,231771952 
main,30746506540732,30747215667676,1,6,patmat,,0,178,pool-15-thread-5,709126944,0,693145255,690000000,34246072,265764208 
main,30747215856382,30747255386226,1,7,extmethods,,0,178,pool-15-thread-5,39529844,0,38158407,40000000,1148224,267179336 
main,30747256050108,30747310504140,1,8,pickler,,0,178,pool-15-thread-5,54454032,0,53021794,50000000,1853480,268592400 
GC,30748909425918,30748958425918,24596, 24644,PS Scavenge,end of minor GC,Allocation Failure,8
GC,30750649808591,30750690808591,26337, 26377,PS Scavenge,end of minor GC,Allocation Failure,8
GC,30751885266399,30751956266399,27572, 27642,PS Scavenge,end of minor GC,Allocation Failure,8
main,30747310675581,30752549067266,1,9,xsbt-api,,0,178,pool-15-thread-5,5238391685,0,5041270513,5010000000,1602075040,519732088 
main,30752549247766,30752677719929,1,10,xsbt-dependency,,0,178,pool-15-thread-5,128472163,0,123164920,120000000,8494544,529078728 
