info, 1, version, 2, output, /home/rory/perf_workspace/perf_tester/corpus/akka/akka-actor/target/scala-2.12/classes
header(main/background),startNs,endNs,runId,phaseId,phaseName,purpose,task-count,threadId,threadName,runNs,idleNs,cpuTimeNs,userTimeNs,allocatedByte,heapSize
header(GC),startNs,endNs,startMs,endMs,name,action,cause,threads
GC,4318936915235226,4318936955235226,11191, 11230,PS Scavenge,end of minor GC,Allocation Failure,4
GC,4318936929437859,4318936959437859,11240, 11269,PS Scavenge,end of minor GC,Metadata GC Threshold,4
GC,4318936763898720,4318936959898720,11269, 11464,PS MarkSweep,end of major GC,Metadata GC Threshold,4
main,4318937043789397,4318937059771136,1,0,<init phase>,,0,71,pool-12-thread-1,15981739,0,15921993,10000000,5143088,134367240 
main,4318937066035474,4318937771972054,1,1,parser,,0,71,pool-12-thread-1,705936580,0,686397502,680000000,42381600,180668024 
main,4318937772244488,4318937933186198,1,2,namer,,0,71,pool-12-thread-1,160941710,0,158550211,160000000,5368416,184473224 
main,4318937933334646,4318937964740009,1,3,packageobjects,,0,71,pool-12-thread-1,31405363,0,30466086,20000000,1352288,186375968 
GC,4318943584807707,4318943636807707,18097, 18148,PS Scavenge,end of minor GC,Allocation Failure,4
main,4318937964905074,4318946603113497,1,4,typer,,0,71,pool-12-thread-1,8638208423,0,8318443670,8270000000,565952560,471653128 
GC,4318947090276190,4318947147276190,21599, 21655,PS Scavenge,end of minor GC,Allocation Failure,4
main,4318946603299248,4318948154997653,1,5,patmat,,0,71,pool-12-thread-1,1551698405,0,1413687661,1400000000,135655904,282635408 
main,4318948155175273,4318948387216978,1,6,superaccessors,,0,71,pool-12-thread-1,232041705,0,226430435,230000000,21532672,302940752 
main,4318948387399145,4318948459392213,1,7,extmethods,,0,71,pool-12-thread-1,71993068,0,69007985,70000000,5093152,309709200 
main,4318948459974369,4318948597356126,1,8,pickler,,0,71,pool-12-thread-1,137381757,0,132211473,130000000,18720064,323246088 
main,4318948597487654,4318949933144828,1,9,xsbt-api,,0,71,pool-12-thread-1,1335657174,0,1303705760,1300000000,283849032,608015424 
GC,4318950327451195,4318950392451195,24840, 24904,PS Scavenge,end of minor GC,Allocation Failure,4
main,4318949933291028,4318950453061231,1,10,xsbt-dependency,,0,71,pool-12-thread-1,519770203,0,446701675,420000000,76229456,204283584 
main,4318950453197544,4318951204148072,1,11,refchecks,,0,71,pool-12-thread-1,750950528,0,734651102,740000000,52042960,253034536 
main,4318951204290272,4318951777829312,1,12,uncurry,,0,71,pool-12-thread-1,573539040,0,563323226,560000000,32386376,292464848 
main,4318951777978926,4318952095622791,1,13,fields,,0,71,pool-12-thread-1,317643865,0,310825710,310000000,25390144,316122792 
main,4318952095778506,4318952268303514,1,14,tailcalls,,0,71,pool-12-thread-1,172525008,0,166004600,170000000,9585632,324008792 
