info, 1, version, 2, output, /home/rory/perf_workspace/perf_tester/corpus/akka/akka-actor/target/scala-2.12/classes
header(main/background),startNs,endNs,runId,phaseId,phaseName,purpose,task-count,threadId,threadName,runNs,idleNs,cpuTimeNs,userTimeNs,allocatedByte,heapSize
header(GC),startNs,endNs,startMs,endMs,name,action,cause,threads
GC,4327007939802435,4327007973802435,11457, 11490,PS Scavenge,end of minor GC,Metadata GC Threshold,4
GC,4327007771063582,4327007977063582,11490, 11695,PS MarkSweep,end of major GC,Metadata GC Threshold,4
main,4327008054056770,4327008070243849,1,0,<init phase>,,0,74,pool-12-thread-3,16187079,0,16078470,20000000,5143040,122667592 
main,4327008076412261,4327008804825056,1,1,parser,,0,74,pool-12-thread-3,728412795,0,708046596,700000000,42521880,167462896 
main,4327008805349862,4327008970342004,1,2,namer,,0,74,pool-12-thread-3,164992142,0,156968685,160000000,5333232,173103752 
main,4327008970512251,4327009007244414,1,3,packageobjects,,0,74,pool-12-thread-3,36732163,0,32800943,30000000,1309728,174227152 
GC,4327014131091808,4327014174091808,17857, 17899,PS Scavenge,end of minor GC,Allocation Failure,4
GC,4327017666829397,4327017716829397,21392, 21441,PS Scavenge,end of minor GC,Allocation Failure,4
main,4327009007415082,4327018200377918,1,4,typer,,0,74,pool-12-thread-3,9192962836,0,8797557315,8740000000,577632616,216930048 
main,4327018200544802,4327019637842449,1,5,patmat,,0,74,pool-12-thread-3,1437297647,0,1317494721,1320000000,128150656,345869408 
main,4327019638015915,4327019866081082,1,6,superaccessors,,0,74,pool-12-thread-3,228065167,0,222333570,220000000,21660912,369258456 
main,4327019866268334,4327019955427308,1,7,extmethods,,0,74,pool-12-thread-3,89158974,0,88220259,90000000,5124240,373936240 
main,4327019956035622,4327020086918137,1,8,pickler,,0,74,pool-12-thread-3,130882515,0,123055935,120000000,18730128,392647376 
GC,4327020995783264,4327021049783264,24721, 24774,PS Scavenge,end of minor GC,Allocation Failure,4
main,4327020087095097,4327021674494662,1,9,xsbt-api,,0,74,pool-12-thread-3,1587399565,0,1502063164,1500000000,288621048,328340024 
main,4327021674630686,4327022111469537,1,10,xsbt-dependency,,0,74,pool-12-thread-3,436838851,0,434328152,400000000,68600168,401034072 
main,4327022111610797,4327022934517074,1,11,refchecks,,0,74,pool-12-thread-3,822906277,0,812764577,810000000,52184904,451326424 
main,4327022934664732,4327023542358245,1,12,uncurry,,0,74,pool-12-thread-3,607693513,0,597025536,590000000,32480376,484854696 
main,4327023542499259,4327023884432867,1,13,fields,,0,74,pool-12-thread-3,341933608,0,334069374,330000000,25708008,507207344 
main,4327023884574035,4327024070081548,1,14,tailcalls,,0,74,pool-12-thread-3,185507513,0,171845339,180000000,9528224,518383504 
GC,4327024314046696,4327024378046696,28040, 28103,PS Scavenge,end of minor GC,Allocation Failure,4
main,4327024070225650,4327024828530102,1,15,specialize,,0,74,pool-12-thread-3,758304452,0,675192879,660000000,79883408,240627664 
