info, 1, version, 2, output, /home/rory/perf_workspace/perf_tester/corpus/akka/akka-actor/target/scala-2.12/classes
header(main/background),startNs,endNs,runId,phaseId,phaseName,purpose,task-count,threadId,threadName,runNs,idleNs,cpuTimeNs,userTimeNs,allocatedByte,heapSize
header(GC),startNs,endNs,startMs,endMs,name,action,cause,threads
GC,6348816386510331,6348816427510331,9513, 9553,PS Scavenge,end of minor GC,Metadata GC Threshold,8
GC,6348816291364045,6348816429364045,9553, 9690,PS MarkSweep,end of major GC,Metadata GC Threshold,8
main,6348816455668603,6348816468181159,1,0,<init phase>,,0,104,pool-12-thread-2,12512556,0,12448467,10000000,5144416,133123968 
main,6348816473236272,6348817260249491,1,1,parser,,0,104,pool-12-thread-2,787013219,0,777476018,780000000,41760824,178491808 
main,6348817260591450,6348817436304809,1,2,namer,,0,104,pool-12-thread-2,175713359,0,174342775,170000000,5238952,183960528 
main,6348817436505059,6348817473563983,1,3,packageobjects,,0,104,pool-12-thread-2,37058924,0,36883366,40000000,1335128,185783088 
GC,6348822222133279,6348822271133279,15490, 15538,PS Scavenge,end of minor GC,Allocation Failure,8
main,6348817473776664,6348824957476019,1,4,typer,,0,104,pool-12-thread-2,7483699355,0,7357224773,7320000000,596486496,514358400 
GC,6348825592229660,6348825636229660,18860, 18903,PS Scavenge,end of minor GC,Allocation Failure,8
main,6348824957678105,6348826475855010,1,5,patmat,,0,104,pool-12-thread-2,1518176905,0,1437855779,1420000000,127999640,264321080 
main,6348826476109802,6348826687840400,1,6,superaccessors,,0,104,pool-12-thread-2,211730598,0,206617967,210000000,21441960,285768224 
main,6348826688027033,6348826755855086,1,7,extmethods,,0,104,pool-12-thread-2,67828053,0,66189708,60000000,5067680,291130048 
main,6348826756357940,6348826896936999,1,8,pickler,,0,104,pool-12-thread-2,140579059,0,135641573,130000000,18743864,312581200 
GC,6348828409730427,6348828464730427,21678, 21732,PS Scavenge,end of minor GC,Allocation Failure,8
main,6348826897098334,6348828556778113,1,9,xsbt-api,,0,104,pool-12-thread-2,1659679779,0,1590681201,1590000000,288430032,215416688 
main,6348828556950525,6348828859006068,1,10,xsbt-dependency,,0,104,pool-12-thread-2,302055543,0,297325459,280000000,76194904,289455296 
main,6348828859129704,6348829386209265,1,11,refchecks,,0,104,pool-12-thread-2,527079561,0,518055203,510000000,52194264,341237520 
main,6348829386342287,6348829866316605,1,12,uncurry,,0,104,pool-12-thread-2,479974318,0,472771353,480000000,33717016,378924472 
main,6348829866488382,6348830167609280,1,13,fields,,0,104,pool-12-thread-2,301120898,0,296115219,290000000,25287496,405840824 
main,6348830167763370,6348830343566995,1,14,tailcalls,,0,104,pool-12-thread-2,175803625,0,169981770,170000000,9514832,420635784 
main,6348830343715855,6348830894216481,1,15,specialize,,0,104,pool-12-thread-2,550500626,0,527960892,520000000,73552224,487213040 
main,6348830894353831,6348831059970681,1,16,explicitouter,,0,104,pool-12-thread-2,165616850,0,163817634,170000000,18043696,509405544 
main,6348831060812863,6348832677822621,1,17,erasure,,0,104,pool-12-thread-2,1617009758,0,1592437048,1590000000,152204776,659351264 
GC,6348832741444049,6348832807444049,26009, 26074,PS Scavenge,end of minor GC,Allocation Failure,8
main,6348832677965711,6348832884291072,1,18,posterasure,,0,104,pool-12-thread-2,206325361,0,139978178,140000000,12775168,227874944 
main,6348832884463903,6348833182008762,1,19,lambdalift,,0,104,pool-12-thread-2,297544859,0,289440809,280000000,19158608,244012752 
main,6348833182165845,6348833420207287,1,20,constructors,,0,104,pool-12-thread-2,238041442,0,231885019,230000000,15530504,260109024 
main,6348833420342762,6348833520584601,1,21,flatten,,0,104,pool-12-thread-2,100241839,0,99874517,90000000,4533840,260109024 
main,6348833520731579,6348833824599422,1,22,mixin,,0,104,pool-12-thread-2,303867843,0,298528102,290000000,29440944,292301432 
main,6348833824736779,6348833877010127,1,23,cleanup,,0,104,pool-12-thread-2,52273348,0,50782030,50000000,4770864,300349568 
main,6348833877147644,6348834014624532,1,24,delambdafy,,0,104,pool-12-thread-2,137476888,0,133717839,140000000,18477232,316445888 
GC,6348836378508977,6348836450508977,29647, 29718,PS Scavenge,end of minor GC,Allocation Failure,8
main,6348834014754885,6348836476459222,1,25,jvm,,0,104,pool-12-thread-2,2461704337,0,2350966857,2310000000,373408872,231328152 
main,6348836476581971,6348836492773784,1,26,xsbt-analyzer,,0,104,pool-12-thread-2,16191813,0,15742108,10000000,4383512,241303872 
info, 2, version, 2, output, /home/rory/perf_workspace/perf_tester/corpus/akka/akka-actor/target/scala-2.12/classes
header(main/background),startNs,endNs,runId,phaseId,phaseName,purpose,task-count,threadId,threadName,runNs,idleNs,cpuTimeNs,userTimeNs,allocatedByte,heapSize
header(GC),startNs,endNs,startMs,endMs,name,action,cause,threads
main,6348839068356806,6348839077872121,2,0,<init phase>,,0,116,pool-14-thread-4,9515315,0,9513437,10000000,4868240,720083216 
main,6348839079061524,6348839311635229,2,1,parser,,0,116,pool-14-thread-4,232573705,0,230920120,230000000,35384072,754917344 
main,6348839311805746,6348839338610031,2,2,namer,,0,116,pool-14-thread-4,26804285,0,26446535,30000000,3059752,758084072 
main,6348839338787838,6348839342463275,2,3,packageobjects,,0,116,pool-14-thread-4,3675437,0,3648754,0,234136,758084072 
GC,6348839476483881,6348839548483881,32745, 32816,PS Scavenge,end of minor GC,Allocation Failure,8
main,6348839342643763,6348843227819226,2,4,typer,,0,116,pool-14-thread-4,3885175463,0,3766900407,3760000000,550996552,799709168 
GC,6348843307844927,6348843427844927,36576, 36695,PS Scavenge,end of minor GC,Allocation Failure,8
main,6348843227983693,6348844047530043,2,5,patmat,,0,116,pool-14-thread-4,819546350,0,693288198,690000000,112203864,404023064 
main,6348844047665600,6348844105641468,2,6,superaccessors,,0,116,pool-14-thread-4,57975868,0,56991188,60000000,20910784,422025408 
main,6348844105784947,6348844126611301,2,7,extmethods,,0,116,pool-14-thread-4,20826354,0,20829793,20000000,4249216,428026136 
main,6348844126754241,6348844179030363,2,8,pickler,,0,116,pool-14-thread-4,52276122,0,51548700,50000000,18405312,446028752 
main,6348844179174322,6348844893245783,2,9,xsbt-api,,0,116,pool-14-thread-4,714071461,0,709219565,710000000,274578408,722191144 
main,6348844893390283,6348845069552916,2,10,xsbt-dependency,,0,116,pool-14-thread-4,176162633,0,176004229,170000000,64490880,788199344 
main,6348845069679860,6348845495471762,2,11,refchecks,,0,116,pool-14-thread-4,425791902,0,422605032,420000000,50052288,836951480 
main,6348845495621233,6348845830664114,2,12,uncurry,,0,116,pool-14-thread-4,335042881,0,327961472,330000000,32322200,866955584 
main,6348845830804872,6348845980131016,2,13,fields,,0,116,pool-14-thread-4,149326144,0,146449873,150000000,24012832,890958624 
main,6348845980277169,6348846042878826,2,14,tailcalls,,0,116,pool-14-thread-4,62601657,0,61567632,60000000,8589584,902960048 
GC,6348846224035088,6348846313035088,39492, 39580,PS Scavenge,end of minor GC,Allocation Failure,8
main,6348846043010446,6348846470147389,2,15,specialize,,0,116,pool-14-thread-4,427136943,0,332389219,330000000,67184368,356450216 
main,6348846470321051,6348846602478646,2,16,explicitouter,,0,116,pool-14-thread-4,132157595,0,131660356,130000000,17683504,373233032 
main,6348846602641378,6348847810814890,2,17,erasure,,0,116,pool-14-thread-4,1208173512,0,1193604787,1200000000,141035880,515886336 
main,6348847810947468,6348847882975010,2,18,posterasure,,0,116,pool-14-thread-4,72027542,0,71839606,70000000,12550408,524277704 
main,6348847883123966,6348847984615938,2,19,lambdalift,,0,116,pool-14-thread-4,101491972,0,100222813,90000000,17933296,549451864 
main,6348847984747019,6348848118502633,2,20,constructors,,0,116,pool-14-thread-4,133755614,0,131973634,140000000,14093272,557843224 
main,6348848118632786,6348848160161324,2,21,flatten,,0,116,pool-14-thread-4,41528538,0,41530424,40000000,4477120,566234592 
main,6348848160304309,6348848317005097,2,22,mixin,,0,116,pool-14-thread-4,156700788,0,155704762,150000000,28236528,591409184 
main,6348848317137620,6348848349950009,2,23,cleanup,,0,116,pool-14-thread-4,32812389,0,32814184,30000000,3339264,599800552 
main,6348848350097919,6348848429439018,2,24,delambdafy,,0,116,pool-14-thread-4,79341099,0,78348076,80000000,17857416,616583320 
main,6348848429574169,6348849481099757,2,25,jvm,,0,116,pool-14-thread-4,1051525588,0,1046825865,1010000000,360463824,973319088 
GC,6348849486571068,6348849630571068,42755, 42898,PS Scavenge,end of minor GC,Allocation Failure,8
main,6348849481221714,6348849632107927,2,26,xsbt-analyzer,,0,116,pool-14-thread-4,150886213,0,7869552,0,13464888,358271704 
info, 3, version, 2, output, /home/rory/perf_workspace/perf_tester/corpus/akka/akka-actor/target/scala-2.12/classes
header(main/background),startNs,endNs,runId,phaseId,phaseName,purpose,task-count,threadId,threadName,runNs,idleNs,cpuTimeNs,userTimeNs,allocatedByte,heapSize
header(GC),startNs,endNs,startMs,endMs,name,action,cause,threads
main,6348851186894474,6348851193260950,3,0,<init phase>,,0,133,pool-16-thread-5,6366476,0,6365979,0,4868264,768673824 
main,6348851194111944,6348851419785397,3,1,parser,,0,133,pool-16-thread-5,225673453,0,224411669,220000000,34937488,804771456 
main,6348851419915813,6348851433798172,3,2,namer,,0,133,pool-16-thread-5,13882359,0,13567167,10000000,3027440,806576336 
main,6348851433926032,6348851435650920,3,3,packageobjects,,0,133,pool-16-thread-5,1724888,0,1728413,0,227672,808381192 
GC,6348852863237453,6348852960237453,46131, 46227,PS Scavenge,end of minor GC,Allocation Failure,8
main,6348851435787057,6348854180220328,3,4,typer,,0,133,pool-16-thread-5,2744433271,0,2636227897,2630000000,546562784,687252888 
main,6348854180335907,6348854678503961,3,5,patmat,,0,133,pool-16-thread-5,498168054,0,491194772,490000000,105439608,791931640 
main,6348854678634114,6348854728779681,3,6,superaccessors,,0,133,pool-16-thread-5,50145567,0,49530562,50000000,20903552,810090536 
