info, 1, version, 2, output, /home/rory/perf_workspace/perf_tester/corpus/akka/akka-actor/target/scala-2.12/classes
header(main/background),startNs,endNs,runId,phaseId,phaseName,purpose,task-count,threadId,threadName,runNs,idleNs,cpuTimeNs,userTimeNs,allocatedByte,heapSize
header(GC),startNs,endNs,startMs,endMs,name,action,cause,threads
GC,6314797398901916,6314797436901916,15741, 15778,PS Scavenge,end of minor GC,Allocation Failure,8
main,6314797394460863,6314797444293383,1,0,<init phase>,,0,110,pool-12-thread-4,49832520,0,12084309,10000000,4878408,179381008 
main,6314797446467136,6314798056921933,1,1,parser,,0,110,pool-12-thread-4,610454797,0,598883043,600000000,38694752,217988592 
main,6314798057151124,6314798106593035,1,2,namer,,0,110,pool-12-thread-4,49441911,0,47426350,40000000,3127104,221197232 
main,6314798106748248,6314798112351340,1,3,packageobjects,,0,110,pool-12-thread-4,5603092,0,4910749,10000000,274936,221197232 
GC,6314801140148741,6314801204148741,19486, 19549,PS Scavenge,end of minor GC,Allocation Failure,8
main,6314798112506644,6314803583722186,1,4,typer,,0,110,pool-12-thread-4,5471215542,0,5342490983,5330000000,571464648,509348680 
GC,6314804303443955,6314804382443955,22649, 22727,PS Scavenge,end of minor GC,Allocation Failure,8
main,6314803583858775,6314804620776124,1,5,patmat,,0,110,pool-12-thread-4,1036917349,0,941001829,940000000,122987216,259192984 
main,6314804620915677,6314804723993616,1,6,superaccessors,,0,110,pool-12-thread-4,103077939,0,102216484,100000000,21423408,277517072 
main,6314804724166108,6314804750985139,1,7,extmethods,,0,110,pool-12-thread-4,26819031,0,26436549,30000000,4364768,283625136 
main,6314804751460560,6314804852646008,1,8,pickler,,0,110,pool-12-thread-4,101185448,0,96072966,90000000,18468512,301949072 
main,6314804852788489,6314806120621722,1,9,xsbt-api,,0,110,pool-12-thread-4,1267833233,0,1251012728,1250000000,281245784,583177072 
GC,6314806296838740,6314806382838740,24643, 24728,PS Scavenge,end of minor GC,Allocation Failure,8
main,6314806120758772,6314806607808829,1,10,xsbt-dependency,,0,110,pool-12-thread-4,487050057,0,398867422,380000000,68487144,281460296 
main,6314806607965237,6314807254441290,1,11,refchecks,,0,110,pool-12-thread-4,646476053,0,636116460,640000000,51601824,331676288 
main,6314807254574907,6314807723640548,1,12,uncurry,,0,110,pool-12-thread-4,469065641,0,461825635,460000000,33165632,363823560 
main,6314807723781669,6314807916508199,1,13,fields,,0,110,pool-12-thread-4,192726530,0,188806531,180000000,24200344,387933648 
main,6314807916676285,6314808143586193,1,14,tailcalls,,0,110,pool-12-thread-4,226909908,0,219650228,220000000,9177160,395970320 
main,6314808143787906,6314808653331057,1,15,specialize,,0,110,pool-12-thread-4,509543151,0,494802795,500000000,71979176,468342096 
main,6314808653476198,6314808789140687,1,16,explicitouter,,0,110,pool-12-thread-4,135664489,0,134285550,140000000,23561216,492452224 
main,6314808789279561,6314810258784302,1,17,erasure,,0,110,pool-12-thread-4,1469504741,0,1450091467,1440000000,147868000,647541968 
main,6314810258923538,6314810389398755,1,18,posterasure,,0,110,pool-12-thread-4,130475217,0,129495610,130000000,12789168,655578680 
main,6314810389620797,6314810632165958,1,19,lambdalift,,0,110,pool-12-thread-4,242545161,0,238395740,240000000,22774776,679688840 
main,6314810632301602,6314810862320524,1,20,constructors,,0,110,pool-12-thread-4,230018922,0,224251619,220000000,14206672,695762304 
main,6314810862500649,6314811014137441,1,21,flatten,,0,110,pool-12-thread-4,151636792,0,149610234,150000000,4681360,695762304 
GC,6314811101903570,6314811169903570,29448, 29515,PS Scavenge,end of minor GC,Allocation Failure,8
main,6314811014290094,6314811314061442,1,22,mixin,,0,110,pool-12-thread-4,299771348,0,230211927,230000000,29004512,277653864 
main,6314811314200930,6314811406732170,1,23,cleanup,,0,110,pool-12-thread-4,92531240,0,92468230,90000000,4808344,277653864 
main,6314811406876480,6314811509755316,1,24,delambdafy,,0,110,pool-12-thread-4,102878836,0,98510352,100000000,18164376,303109464 
main,6314811509897317,6314813228078823,1,25,jvm,,0,110,pool-12-thread-4,1718181506,0,1687193803,1640000000,363437672,670240992 
main,6314813228215450,6314813243635060,1,26,xsbt-analyzer,,0,110,pool-12-thread-4,15419610,0,15252046,10000000,4382808,678726112 
info, 2, version, 2, output, /home/rory/perf_workspace/perf_tester/corpus/akka/akka-actor/target/scala-2.12/classes
header(main/background),startNs,endNs,runId,phaseId,phaseName,purpose,task-count,threadId,threadName,runNs,idleNs,cpuTimeNs,userTimeNs,allocatedByte,heapSize
header(GC),startNs,endNs,startMs,endMs,name,action,cause,threads
main,6314816042407589,6314816053327856,2,0,<init phase>,,0,126,pool-14-thread-3,10920267,0,10909155,10000000,4868240,713926448 
main,6314816054456076,6314816317720261,2,1,parser,,0,126,pool-14-thread-3,263264185,0,262657010,260000000,35563384,749518552 
main,6314816317850299,6314816333277179,2,2,namer,,0,126,pool-14-thread-3,15426880,0,14885937,10000000,3068120,752754216 
main,6314816333411926,6314816335954635,2,3,packageobjects,,0,126,pool-14-thread-3,2542709,0,2444046,10000000,231072,754372040 
GC,6314816741197671,6314816840197671,35087, 35185,PS Scavenge,end of minor GC,Allocation Failure,8
main,6314816336107792,6314819830539135,2,4,typer,,0,126,pool-14-thread-3,3494431343,0,3333708848,3310000000,545667688,780914464 
GC,6314820380463184,6314820527463184,38726, 38872,PS Scavenge,end of minor GC,Allocation Failure,8
main,6314819830702943,6314820661309541,2,5,patmat,,0,126,pool-14-thread-3,830606598,0,671819003,670000000,109968760,356514088 
main,6314820661436680,6314820751884398,2,6,superaccessors,,0,126,pool-14-thread-3,90447718,0,89744431,90000000,21271904,375322696 
main,6314820752064873,6314820769690949,2,7,extmethods,,0,126,pool-14-thread-3,17626076,0,17627717,10000000,4299736,381554288 
main,6314820769829065,6314820828765361,2,8,pickler,,0,126,pool-14-thread-3,58936296,0,55434411,50000000,18301488,400248800 
