info, 1, version, 2, output, /home/rory/perf_workspace/perf_tester/corpus/akka/akka-actor/target/scala-2.12/classes
header(main/background),startNs,endNs,runId,phaseId,phaseName,purpose,task-count,threadId,threadName,runNs,idleNs,cpuTimeNs,userTimeNs,allocatedByte,heapSize
header(GC),startNs,endNs,startMs,endMs,name,action,cause,threads
GC,6323851022692423,6323851066692423,9473, 9516,PS Scavenge,end of minor GC,Metadata GC Threshold,8
GC,6323850930391836,6323851068391836,9516, 9653,PS MarkSweep,end of major GC,Metadata GC Threshold,8
main,6323851099575618,6323851112697245,1,0,<init phase>,,0,106,pool-12-thread-1,13121627,0,12995447,20000000,5147240,132742352 
main,6323851117825933,6323851697469466,1,1,parser,,0,106,pool-12-thread-1,579643533,0,571386651,570000000,42128200,177789216 
main,6323851697703381,6323851868036358,1,2,namer,,0,106,pool-12-thread-1,170332977,0,167668666,160000000,5239048,184036152 
main,6323851868255220,6323851904569961,1,3,packageobjects,,0,106,pool-12-thread-1,36314741,0,35586755,40000000,1335200,186118032 
GC,6323856433247222,6323856468247222,15025, 15059,PS Scavenge,end of minor GC,Allocation Failure,8
main,6323851904770647,6323859242635191,1,4,typer,,0,106,pool-12-thread-1,7337864544,0,7208740274,7170000000,586583856,507977192 
GC,6323859978804552,6323860019804552,18571, 18611,PS Scavenge,end of minor GC,Allocation Failure,8
main,6323859242864169,6323860758894220,1,5,patmat,,0,106,pool-12-thread-1,1516030051,0,1441981648,1440000000,131586464,265360072 
main,6323860759057100,6323860978004757,1,6,superaccessors,,0,106,pool-12-thread-1,218947657,0,217682888,210000000,21650824,287098344 
main,6323860978161630,6323861052271918,1,7,extmethods,,0,106,pool-12-thread-1,74110288,0,72276339,80000000,5094528,292532968 
main,6323861052874259,6323861206177061,1,8,pickler,,0,106,pool-12-thread-1,153302802,0,148881772,150000000,18738832,308836664 
GC,6323862274304671,6323862329304671,20866, 20920,PS Scavenge,end of minor GC,Allocation Failure,8
main,6323861206318415,6323862450360563,1,9,xsbt-api,,0,106,pool-12-thread-1,1244042148,0,1179660709,1180000000,294570344,229257728 
main,6323862450488402,6323862797273337,1,10,xsbt-dependency,,0,106,pool-12-thread-1,346784935,0,340484196,320000000,61471104,294589888 
main,6323862797397852,6323863369495146,1,11,refchecks,,0,106,pool-12-thread-1,572097294,0,559464954,560000000,52561968,345355624 
main,6323863369656064,6323864081952281,1,12,uncurry,,0,106,pool-12-thread-1,712296217,0,703345070,710000000,33490048,381947960 
main,6323864082127104,6323864340204881,1,13,fields,,0,106,pool-12-thread-1,258077777,0,255038837,250000000,25252384,403704808 
main,6323864340377092,6323864519978511,1,14,tailcalls,,0,106,pool-12-thread-1,179601419,0,175483616,180000000,9464800,418552320 
main,6323864520129642,6323865094785929,1,15,specialize,,0,106,pool-12-thread-1,574656287,0,555804578,550000000,74200304,494038896 
main,6323865094946852,6323865249160651,1,16,explicitouter,,0,106,pool-12-thread-1,154213799,0,152338279,150000000,17990776,508543344 
GC,6323866619583156,6323866681583156,25212, 25273,PS Scavenge,end of minor GC,Allocation Failure,8
main,6323865249328891,6323866806964790,1,17,erasure,,0,106,pool-12-thread-1,1557635899,0,1469856036,1470000000,159378808,234098584 
main,6323866807107152,6323866909281826,1,18,posterasure,,0,106,pool-12-thread-1,102174674,0,100705623,100000000,12772088,241977392 
main,6323866909446070,6323867182449509,1,19,lambdalift,,0,106,pool-12-thread-1,273003439,0,263863365,270000000,19101272,265653656 
main,6323867182590519,6323867353339916,1,20,constructors,,0,106,pool-12-thread-1,170749397,0,165686943,160000000,15506712,281411344 
main,6323867353598262,6323867434368204,1,21,flatten,,0,106,pool-12-thread-1,80769942,0,78940759,80000000,4533920,281411344 
main,6323867434535933,6323867728146960,1,22,mixin,,0,106,pool-12-thread-1,293611027,0,289038390,290000000,29981744,312926728 
main,6323867728281519,6323867803333457,1,23,cleanup,,0,106,pool-12-thread-1,75051938,0,72851592,70000000,4806272,322721672 
main,6323867803529828,6323867973024011,1,24,delambdafy,,0,106,pool-12-thread-1,169494183,0,163318094,160000000,18555016,338479400 
GC,6323870380535475,6323870454535475,28973, 29046,PS Scavenge,end of minor GC,Allocation Failure,8
main,6323867973192140,6323870684437297,1,25,jvm,,0,106,pool-12-thread-1,2711245157,0,2601965772,2560000000,373101160,268793208 
main,6323870684587159,6323870707525516,1,26,xsbt-analyzer,,0,106,pool-12-thread-1,22938357,0,21541106,20000000,5282304,278395888 
info, 2, version, 2, output, /home/rory/perf_workspace/perf_tester/corpus/akka/akka-actor/target/scala-2.12/classes
header(main/background),startNs,endNs,runId,phaseId,phaseName,purpose,task-count,threadId,threadName,runNs,idleNs,cpuTimeNs,userTimeNs,allocatedByte,heapSize
header(GC),startNs,endNs,startMs,endMs,name,action,cause,threads
