info, 1, version, 2, output, /home/rory/perf_workspace/perf_tester/corpus/akka/akka-actor/target/scala-2.12/classes
header(main/background),startNs,endNs,runId,phaseId,phaseName,purpose,task-count,threadId,threadName,runNs,idleNs,cpuTimeNs,userTimeNs,allocatedByte,heapSize
header(GC),startNs,endNs,startMs,endMs,name,action,cause,threads
GC,6332852778601669,6332852812601669,9310, 9343,PS Scavenge,end of minor GC,Allocation Failure,8
GC,6332853286872551,6332853321872551,9694, 9728,PS Scavenge,end of minor GC,Metadata GC Threshold,8
GC,6332853188288497,6332853322288497,9728, 9861,PS MarkSweep,end of major GC,Metadata GC Threshold,8
main,6332853372473437,6332853388702261,1,0,<init phase>,,0,113,pool-12-thread-6,16228824,0,16163920,20000000,5147240,122439320 
main,6332853395903953,6332854010312889,1,1,parser,,0,113,pool-12-thread-6,614408936,0,605589466,600000000,42158976,168121680 
main,6332854010553586,6332854179436563,1,2,namer,,0,113,pool-12-thread-6,168882977,0,167024558,170000000,5239080,174017560 
main,6332854179620215,6332854216921671,1,3,packageobjects,,0,113,pool-12-thread-6,37301456,0,36503085,40000000,1335152,175194984 
GC,6332858619218605,6332858643218605,15159, 15182,PS Scavenge,end of minor GC,Allocation Failure,8
GC,6332861134083714,6332861180083714,17674, 17719,PS Scavenge,end of minor GC,Allocation Failure,8
main,6332854217166752,6332861603589226,1,4,typer,,0,113,pool-12-thread-6,7386422474,0,7226618841,7210000000,598692048,212342536 
main,6332861603772874,6332863067183340,1,5,patmat,,0,113,pool-12-thread-6,1463410466,0,1432560531,1420000000,126448736,350750040 
main,6332863067394059,6332863319861651,1,6,superaccessors,,0,113,pool-12-thread-6,252467592,0,248817004,250000000,21506320,375726696 
main,6332863320097847,6332863420498737,1,7,extmethods,,0,113,pool-12-thread-6,100400890,0,97119376,100000000,5070784,380722072 
main,6332863421298693,6332863613554768,1,8,pickler,,0,113,pool-12-thread-6,192256075,0,185575925,190000000,18742664,395712072 
GC,6332864411747954,6332864453747954,20952, 20993,PS Scavenge,end of minor GC,Allocation Failure,8
main,6332863613743852,6332864838402805,1,9,xsbt-api,,0,113,pool-12-thread-6,1224658953,0,1171537919,1160000000,289737896,314494592 
main,6332864838534287,6332865244059017,1,10,xsbt-dependency,,0,113,pool-12-thread-6,405524730,0,401101051,390000000,70163976,385219080 
main,6332865244202990,6332866179432208,1,11,refchecks,,0,113,pool-12-thread-6,935229218,0,916121440,910000000,52273552,439866888 
main,6332866179581969,6332866800512180,1,12,uncurry,,0,113,pool-12-thread-6,620930211,0,612396292,610000000,33482656,469817080 
main,6332866800639623,6332867062762135,1,13,fields,,0,113,pool-12-thread-6,262122512,0,258376388,260000000,25356344,499263744 
main,6332867062917036,6332867221307787,1,14,tailcalls,,0,113,pool-12-thread-6,158390751,0,152880672,150000000,9504416,505153080 
GC,6332867893179073,6332867965179073,24433, 24504,PS Scavenge,end of minor GC,Allocation Failure,8
main,6332867221441400,6332868035266570,1,15,specialize,,0,113,pool-12-thread-6,813825170,0,717899542,700000000,72240824,209341280 
main,6332868035433844,6332868245207011,1,16,explicitouter,,0,113,pool-12-thread-6,209773167,0,207030509,200000000,18043880,224909072 
main,6332868245388406,6332870290494841,1,17,erasure,,0,113,pool-12-thread-6,2045106435,0,2021751482,2020000000,146291392,378317248 
main,6332870290638836,6332870425487036,1,18,posterasure,,0,113,pool-12-thread-6,134848200,0,132367070,130000000,12764144,393844424 
main,6332870425630717,6332870657863836,1,19,lambdalift,,0,113,pool-12-thread-6,232233119,0,228356666,230000000,19352824,409371600 
main,6332870658002366,6332870814186797,1,20,constructors,,0,113,pool-12-thread-6,156184431,0,151188420,150000000,15222280,424898672 
main,6332870814343208,6332870885315221,1,21,flatten,,0,113,pool-12-thread-6,70972013,0,70460258,70000000,4533920,432662224 
main,6332870885485784,6332871216199129,1,22,mixin,,0,113,pool-12-thread-6,330713345,0,327934687,330000000,29222000,455952856 
main,6332871216339003,6332871270037289,1,23,cleanup,,0,113,pool-12-thread-6,53698286,0,52429585,50000000,4800376,463716416 
main,6332871270174801,6332871406311091,1,24,delambdafy,,0,113,pool-12-thread-6,136136290,0,131397748,130000000,18453088,479434480 
GC,6332872912586726,6332872978586726,29453, 29518,PS Scavenge,end of minor GC,Allocation Failure,8
main,6332871406447533,6332873854276405,1,25,jvm,,0,113,pool-12-thread-6,2447828872,0,2342653085,2300000000,383975632,408941944 
main,6332873854415834,6332873869546526,1,26,xsbt-analyzer,,0,113,pool-12-thread-6,15130692,0,14585491,20000000,5282304,417229208 
info, 2, version, 2, output, /home/rory/perf_workspace/perf_tester/corpus/akka/akka-actor/target/scala-2.12/classes
header(main/background),startNs,endNs,runId,phaseId,phaseName,purpose,task-count,threadId,threadName,runNs,idleNs,cpuTimeNs,userTimeNs,allocatedByte,heapSize
header(GC),startNs,endNs,startMs,endMs,name,action,cause,threads
main,6332876807208211,6332876815622798,2,0,<init phase>,,0,123,pool-14-thread-1,8414587,0,8409944,10000000,4868240,449122048 
main,6332876816459008,6332877037065410,2,1,parser,,0,123,pool-14-thread-1,220606402,0,219349742,220000000,35572408,484816064 
main,6332877037195620,6332877051427291,2,2,namer,,0,123,pool-14-thread-1,14231671,0,13945959,10000000,3041088,487919872 
main,6332877051582752,6332877054030752,2,3,packageobjects,,0,123,pool-14-thread-1,2448000,0,2450261,10000000,231736,487919872 
GC,6332879102387585,6332879189387585,35642, 35728,PS Scavenge,end of minor GC,Allocation Failure,8
main,6332877054178745,6332880753327749,2,4,typer,,0,123,pool-14-thread-1,3699149004,0,3570604020,3530000000,550452784,555692264 
main,6332880753460620,6332881493425471,2,5,patmat,,0,123,pool-14-thread-1,739964851,0,725539885,720000000,110173488,667461728 
main,6332881493593961,6332881588157062,2,6,superaccessors,,0,123,pool-14-thread-1,94563101,0,92913535,100000000,21037360,686032592 
main,6332881588332887,6332881616858724,2,7,extmethods,,0,123,pool-14-thread-1,28525837,0,28043631,20000000,4249840,690650640 
