info, 1, version, 2, output, /home/rory/perf_workspace/perf_tester/corpus/akka/akka-actor/target/scala-2.12/classes
header(main/background),startNs,endNs,runId,phaseId,phaseName,purpose,task-count,threadId,threadName,runNs,idleNs,cpuTimeNs,userTimeNs,allocatedByte,heapSize
header(GC),startNs,endNs,startMs,endMs,name,action,cause,threads
GC,6338581708100288,6338581743100288,9718, 9752,PS Scavenge,end of minor GC,Metadata GC Threshold,8
GC,6338581568130219,6338581745130219,9752, 9928,PS MarkSweep,end of major GC,Metadata GC Threshold,8
main,6338581781428728,6338581794788878,1,0,<init phase>,,0,111,pool-12-thread-6,13360150,0,13228911,10000000,5147384,132093024 
main,6338581800098718,6338582514166408,1,1,parser,,0,111,pool-12-thread-6,714067690,0,706056154,710000000,41562768,174626024 
main,6338582514366260,6338582652934325,1,2,namer,,0,111,pool-12-thread-6,138568065,0,137272713,130000000,5240296,180200648 
main,6338582653085108,6338582680232555,1,3,packageobjects,,0,111,pool-12-thread-6,27147447,0,26673946,30000000,1334696,181014176 
GC,6338587961989406,6338588001989406,16154, 16193,PS Scavenge,end of minor GC,Allocation Failure,8
main,6338582680384446,6338590474075193,1,4,typer,,0,111,pool-12-thread-6,7793690747,0,7670237965,7640000000,589356944,476285264 
main,6338590474252982,6338591679850769,1,5,patmat,,0,111,pool-12-thread-6,1205597787,0,1180256619,1180000000,127747672,601088864 
GC,6338591825337602,6338591874337602,20017, 20065,PS Scavenge,end of minor GC,Allocation Failure,8
main,6338591680081057,6338591969355855,1,6,superaccessors,,0,111,pool-12-thread-6,289274798,0,233975234,240000000,29493216,198100096 
main,6338591969519081,6338592036299728,1,7,extmethods,,0,111,pool-12-thread-6,66780647,0,65406740,60000000,5103520,198100096 
main,6338592036804115,6338592184734095,1,8,pickler,,0,111,pool-12-thread-6,147929980,0,142264212,150000000,18746152,216775376 
main,6338592184896172,6338593908944331,1,9,xsbt-api,,0,111,pool-12-thread-6,1724048159,0,1708107740,1700000000,270045264,490741168 
main,6338593909140715,6338594400918692,1,10,xsbt-dependency,,0,111,pool-12-thread-6,491777977,0,487370812,480000000,61914856,552991504 
main,6338594401089915,6338595296205569,1,11,refchecks,,0,111,pool-12-thread-6,895115654,0,881269189,880000000,52318392,612281192 
GC,6338595634915185,6338595703915185,23826, 23894,PS Scavenge,end of minor GC,Allocation Failure,8
main,6338595296381573,6338596093300518,1,12,uncurry,,0,111,pool-12-thread-6,796918945,0,717756963,720000000,33738664,219212592 
main,6338596093458850,6338596462248897,1,13,fields,,0,111,pool-12-thread-6,368790047,0,365813267,360000000,25542304,250751376 
main,6338596462449920,6338596681530546,1,14,tailcalls,,0,111,pool-12-thread-6,219080626,0,213709041,210000000,9587856,260836496 
main,6338596681696536,6338597486226153,1,15,specialize,,0,111,pool-12-thread-6,804529617,0,779927095,780000000,73327472,331812968 
main,6338597486395785,6338597679228444,1,16,explicitouter,,0,111,pool-12-thread-6,192832659,0,187285020,190000000,18010008,352546904 
main,6338597679407444,6338599456132939,1,17,erasure,,0,111,pool-12-thread-6,1776725495,0,1751610953,1750000000,152478808,515200664 
main,6338599456269613,6338599571051255,1,18,posterasure,,0,111,pool-12-thread-6,114781642,0,114187622,120000000,12775200,523085128 
main,6338599571215854,6338599967471743,1,19,lambdalift,,0,111,pool-12-thread-6,396255889,0,386361108,380000000,19236824,546943112 
main,6338599967635182,6338600176690610,1,20,constructors,,0,111,pool-12-thread-6,209055428,0,204044320,210000000,15524232,562923824 
main,6338600176909910,6338600244891756,1,21,flatten,,0,111,pool-12-thread-6,67981846,0,66544215,70000000,4533048,562923824 
main,6338600245030873,6338600522220349,1,22,mixin,,0,111,pool-12-thread-6,277189476,0,271309786,260000000,30104552,594461624 
main,6338600522351524,6338600591500198,1,23,cleanup,,0,111,pool-12-thread-6,69148674,0,68800670,80000000,4807408,602346128 
main,6338600591637382,6338600730321576,1,24,delambdafy,,0,111,pool-12-thread-6,138684194,0,133580055,130000000,18624792,618115080 
GC,6338601683845353,6338601751845353,29875, 29942,PS Scavenge,end of minor GC,Allocation Failure,8
main,6338600730466027,6338603354271524,1,25,jvm,,0,111,pool-12-thread-6,2623805497,0,2514506213,2470000000,380104632,526091816 
main,6338603354391992,6338603370648323,1,26,xsbt-analyzer,,0,111,pool-12-thread-6,16256331,0,16117204,10000000,5281728,534644128 
info, 2, version, 2, output, /home/rory/perf_workspace/perf_tester/corpus/akka/akka-actor/target/scala-2.12/classes
header(main/background),startNs,endNs,runId,phaseId,phaseName,purpose,task-count,threadId,threadName,runNs,idleNs,cpuTimeNs,userTimeNs,allocatedByte,heapSize
header(GC),startNs,endNs,startMs,endMs,name,action,cause,threads
main,6338606372672077,6338606383954377,2,0,<init phase>,,0,122,pool-14-thread-3,11282300,0,11280240,10000000,4868240,533040376 
main,6338606385133329,6338606731453852,2,1,parser,,0,122,pool-14-thread-3,346320523,0,342322074,340000000,35463616,567709352 
