info, 1, version, 2, output, /home/rory/perf_workspace/perf_tester/corpus/akka/akka-actor/target/scala-2.12/classes
header(main/background),startNs,endNs,runId,phaseId,phaseName,purpose,task-count,threadId,threadName,runNs,idleNs,cpuTimeNs,userTimeNs,allocatedByte,heapSize
header(GC),startNs,endNs,startMs,endMs,name,action,cause,threads
GC,6347530986341584,6347531023341584,9466, 9502,PS Scavenge,end of minor GC,Allocation Failure,8
GC,6347531403580117,6347531432580117,9735, 9763,PS Scavenge,end of minor GC,Metadata GC Threshold,8
GC,6347531276003332,6347531433003332,9763, 9919,PS MarkSweep,end of major GC,Metadata GC Threshold,8
main,6347531477107288,6347531490022876,1,0,<init phase>,,0,111,pool-12-thread-2,12915588,0,12814974,20000000,5147288,126426472 
main,6347531495282752,6347532145525037,1,1,parser,,0,111,pool-12-thread-2,650242285,0,642709670,650000000,42284880,171573064 
main,6347532145867041,6347532331409028,1,2,namer,,0,111,pool-12-thread-2,185541987,0,183617319,180000000,5257984,176512464 
main,6347532331613237,6347532374058129,1,3,packageobjects,,0,111,pool-12-thread-2,42444892,0,41137873,40000000,1335424,178156560 
GC,6347537162309432,6347537207309432,15649, 15693,PS Scavenge,end of minor GC,Allocation Failure,8
GC,6347540011189726,6347540064189726,18498, 18550,PS Scavenge,end of minor GC,Allocation Failure,8
main,6347532374265006,6347540078923749,1,4,typer,,0,111,pool-12-thread-2,7704658743,0,7513944464,7440000000,600303776,170337888 
main,6347540079158589,6347541708610194,1,5,patmat,,0,111,pool-12-thread-2,1629451605,0,1594680949,1580000000,127749776,301461152 
main,6347541708831953,6347541989289666,1,6,superaccessors,,0,111,pool-12-thread-2,280457713,0,277902595,280000000,21481528,324467616 
main,6347541989507287,6347542084242682,1,7,extmethods,,0,111,pool-12-thread-2,94735395,0,91788632,90000000,5078424,324467616 
main,6347542084934011,6347542245740455,1,8,pickler,,0,111,pool-12-thread-2,160806444,0,153810552,150000000,18744960,347475816 
GC,6347543521383137,6347543578383137,22008, 22064,PS Scavenge,end of minor GC,Allocation Failure,8
main,6347542245902676,6347543652581423,1,9,xsbt-api,,0,111,pool-12-thread-2,1406678747,0,1334540436,1320000000,278149648,211196320 
main,6347543652721775,6347543962689234,1,10,xsbt-dependency,,0,111,pool-12-thread-2,309967459,0,305782104,300000000,73308296,285546736 
main,6347543962836567,6347544808674425,1,11,refchecks,,0,111,pool-12-thread-2,845837858,0,818025176,810000000,51996256,334592608 
main,6347544808823065,6347545387362123,1,12,uncurry,,0,111,pool-12-thread-2,578539058,0,568050170,570000000,33634632,368361520 
main,6347545387549373,6347545655620289,1,13,fields,,0,111,pool-12-thread-2,268070916,0,263889446,260000000,25417608,395376664 
main,6347545655771866,6347545799525378,1,14,tailcalls,,0,111,pool-12-thread-2,143753512,0,139595945,140000000,9476224,402130408 
main,6347545799663594,6347546419583974,1,15,specialize,,0,111,pool-12-thread-2,619920380,0,599354251,600000000,73004776,480804848 
main,6347546419760493,6347546565836645,1,16,explicitouter,,0,111,pool-12-thread-2,146076152,0,143265320,150000000,18010640,501066272 
GC,6347547877803681,6347547951803681,26365, 26438,PS Scavenge,end of minor GC,Allocation Failure,8
main,6347546565996629,6347548148298753,1,17,erasure,,0,111,pool-12-thread-2,1582302124,0,1486517363,1470000000,159670008,235747704 
main,6347548148444489,6347548419952717,1,18,posterasure,,0,111,pool-12-thread-2,271508228,0,269269437,270000000,12773960,244880056 
main,6347548420110729,6347548635666105,1,19,lambdalift,,0,111,pool-12-thread-2,215555376,0,209833177,200000000,19391256,263191776 
main,6347548635814727,6347548821027330,1,20,constructors,,0,111,pool-12-thread-2,185212603,0,178758757,180000000,15497384,281456312 
main,6347548821174196,6347548889966296,1,21,flatten,,0,111,pool-12-thread-2,68792100,0,67790234,70000000,4533920,281456312 
main,6347548890128735,6347549176445124,1,22,mixin,,0,111,pool-12-thread-2,286316389,0,281854382,280000000,29503216,317985608 
main,6347549176593677,6347549228024346,1,23,cleanup,,0,111,pool-12-thread-2,51430669,0,50365330,50000000,4799992,317985608 
main,6347549228164271,6347549356872657,1,24,delambdafy,,0,111,pool-12-thread-2,128708386,0,122702518,120000000,18488496,336250232 
main,6347549357009126,6347551822519513,1,25,jvm,,0,111,pool-12-thread-2,2465510387,0,2414035493,2370000000,372791256,718816488 
main,6347551822646506,6347551840563902,1,26,xsbt-analyzer,,0,111,pool-12-thread-2,17917396,0,17882750,20000000,5246752,718816488 
info, 2, version, 2, output, /home/rory/perf_workspace/perf_tester/corpus/akka/akka-actor/target/scala-2.12/classes
header(main/background),startNs,endNs,runId,phaseId,phaseName,purpose,task-count,threadId,threadName,runNs,idleNs,cpuTimeNs,userTimeNs,allocatedByte,heapSize
header(GC),startNs,endNs,startMs,endMs,name,action,cause,threads
main,6347554441461565,6347554452471707,2,0,<init phase>,,0,134,pool-14-thread-10,11010142,0,11009947,20000000,4868264,673371624 
main,6347554453666295,6347554677257154,2,1,parser,,0,134,pool-14-thread-10,223590859,0,219108150,220000000,35487000,708830472 
main,6347554677390609,6347554692745028,2,2,namer,,0,134,pool-14-thread-10,15354419,0,15001191,10000000,3038296,711901352 
main,6347554692892007,6347554695432964,2,3,packageobjects,,0,134,pool-14-thread-10,2540957,0,2542992,0,230168,711901352 
GC,6347554952920339,6347555064920339,33440, 33551,PS Scavenge,end of minor GC,Allocation Failure,8
main,6347554695609264,6347558520358469,2,4,typer,,0,134,pool-14-thread-10,3824749205,0,3658729297,3650000000,550938304,777008072 
main,6347558520496067,6347559170987391,2,5,patmat,,0,134,pool-14-thread-10,650491324,0,640837128,640000000,108610904,885068128 
GC,6347559177848847,6347559276848847,37665, 37763,PS Scavenge,end of minor GC,Allocation Failure,8
main,6347559171150158,6347559375562032,2,6,superaccessors,,0,134,pool-14-thread-10,204411874,0,105064506,100000000,21101192,319811552 
main,6347559375691403,6347559410363657,2,7,extmethods,,0,134,pool-14-thread-10,34672254,0,34674350,40000000,4226168,319811552 
main,6347559410532662,6347559491162557,2,8,pickler,,0,134,pool-14-thread-10,80629895,0,79723538,80000000,17970376,338080192 
main,6347559491341866,6347560310702659,2,9,xsbt-api,,0,134,pool-14-thread-10,819360793,0,815046040,810000000,253988720,596596320 
main,6347560310869927,6347560532218773,2,10,xsbt-dependency,,0,134,pool-14-thread-10,221348846,0,220439219,210000000,60737960,657478648 
main,6347560532340848,6347560977726066,2,11,refchecks,,0,134,pool-14-thread-10,445385218,0,440970059,440000000,49348512,706184312 
main,6347560977864890,6347561257434355,2,12,uncurry,,0,134,pool-14-thread-10,279569465,0,276774419,280000000,32494776,736625344 
main,6347561257562389,6347561389960591,2,13,fields,,0,134,pool-14-thread-10,132398202,0,130517966,130000000,24131592,760978192 
main,6347561390093625,6347561460134909,2,14,tailcalls,,0,134,pool-14-thread-10,70041284,0,68497373,70000000,8869848,773154536 
main,6347561460255729,6347561754493256,2,15,specialize,,0,134,pool-14-thread-10,294237527,0,291556725,290000000,67650152,840125200 
main,6347561754626190,6347561864528304,2,16,explicitouter,,0,134,pool-14-thread-10,109902114,0,109871093,110000000,17719416,858389904 
GC,6347562389909227,6347562512909227,40877, 40999,PS Scavenge,end of minor GC,Allocation Failure,8
main,6347561864661511,6347563130851466,2,17,erasure,,0,134,pool-14-thread-10,1266189955,0,1132678530,1120000000,141272696,397213384 
main,6347563131020760,6347563255053479,2,18,posterasure,,0,134,pool-14-thread-10,124032719,0,122639811,120000000,12545440,406791424 
main,6347563255252086,6347563443491022,2,19,lambdalift,,0,134,pool-14-thread-10,188238936,0,183151262,180000000,18032992,425947576 
main,6347563443620483,6347563532240819,2,20,constructors,,0,134,pool-14-thread-10,88620336,0,88616850,90000000,14140144,445103664 
main,6347563532367712,6347563573755561,2,21,flatten,,0,134,pool-14-thread-10,41387849,0,41390356,40000000,4477144,445103664 
main,6347563573904340,6347563702748286,2,22,mixin,,0,134,pool-14-thread-10,128843946,0,128260577,120000000,28461128,473837880 
main,6347563702884555,6347563753206348,2,23,cleanup,,0,134,pool-14-thread-10,50321793,0,49916163,50000000,4574584,483415928 
main,6347563753351751,6347563837350429,2,24,delambdafy,,0,134,pool-14-thread-10,83998678,0,82471007,90000000,17782208,492993944 
main,6347563837488973,6347564869550540,2,25,jvm,,0,134,pool-14-thread-10,1032061567,0,1026781639,980000000,356491104,857129136 
main,6347564869698834,6347564883485132,2,26,xsbt-analyzer,,0,134,pool-14-thread-10,13786298,0,12819304,10000000,4097864,857129136 
info, 3, version, 2, output, /home/rory/perf_workspace/perf_tester/corpus/akka/akka-actor/target/scala-2.12/classes
header(main/background),startNs,endNs,runId,phaseId,phaseName,purpose,task-count,threadId,threadName,runNs,idleNs,cpuTimeNs,userTimeNs,allocatedByte,heapSize
header(GC),startNs,endNs,startMs,endMs,name,action,cause,threads
main,6347566531320443,6347566538086703,3,0,<init phase>,,0,143,pool-16-thread-2,6766260,0,6774001,0,4868264,565604496 
main,6347566538846088,6347566707361134,3,1,parser,,0,143,pool-16-thread-2,168515046,0,167583230,170000000,34993832,600196080 
main,6347566707503338,6347566717880301,3,2,namer,,0,143,pool-16-thread-2,10376963,0,10251709,10000000,3028312,603837352 
main,6347566718006623,6347566719713896,3,3,packageobjects,,0,143,pool-16-thread-2,1707273,0,1710611,0,228240,603837352 
GC,6347569020104493,6347569177104493,47507, 47663,PS Scavenge,end of minor GC,Allocation Failure,8
main,6347566719824183,6347569549181573,3,4,typer,,0,143,pool-16-thread-2,2829357390,0,2663018187,2650000000,543422544,482377704 
main,6347569549300380,6347570066012276,3,5,patmat,,0,143,pool-16-thread-2,516711896,0,514051630,510000000,106542864,594110344 
main,6347570066137415,6347570105952821,3,6,superaccessors,,0,143,pool-16-thread-2,39815406,0,39563515,40000000,20908784,608969144 
main,6347570106084246,6347570121745381,3,7,extmethods,,0,143,pool-16-thread-2,15661135,0,15664815,20000000,4225840,616398536 
main,6347570121884415,6347570156626763,3,8,pickler,,0,143,pool-16-thread-2,34742348,0,34552278,30000000,17907664,631257256 
main,6347570156765871,6347570634782744,3,9,xsbt-api,,0,143,pool-16-thread-2,478016873,0,476679814,480000000,251701392,883856536 
main,6347570635004589,6347570756305666,3,10,xsbt-dependency,,0,143,pool-16-thread-2,121301077,0,121260072,110000000,59081672,943291728 
main,6347570756422102,6347570999446972,3,11,refchecks,,0,143,pool-16-thread-2,243024870,0,242751070,250000000,48463848,995297976 
main,6347570999582067,6347571255381414,3,12,uncurry,,0,143,pool-16-thread-2,255799347,0,255444492,250000000,32351480,1025015520 
main,6347571255500148,6347571352331074,3,13,fields,,0,143,pool-16-thread-2,96830926,0,96567556,100000000,23992472,1047303736 
main,6347571352462779,6347571416053737,3,14,tailcalls,,0,143,pool-16-thread-2,63590958,0,63486878,60000000,8762920,1054774736 
main,6347571416191714,6347571657325346,3,15,specialize,,0,143,pool-16-thread-2,241133632,0,239502912,240000000,66460608,1121639184 
main,6347571657457778,6347571747100489,3,16,explicitouter,,0,143,pool-16-thread-2,89642711,0,87666906,90000000,17715824,1143927456 
GC,6347572156126503,6347572274126503,50643, 50760,PS Scavenge,end of minor GC,Allocation Failure,8
main,6347571747239145,6347572630664973,3,17,erasure,,0,143,pool-16-thread-2,883425828,0,762939504,760000000,141005400,493956696 
main,6347572630805067,6347572691018332,3,18,posterasure,,0,143,pool-16-thread-2,60213265,0,60213317,60000000,12545600,504539744 
main,6347572691212131,6347572838831639,3,19,lambdalift,,0,143,pool-16-thread-2,147619508,0,147508471,140000000,17856632,525705768 
main,6347572838989277,6347572917820061,3,20,constructors,,0,143,pool-16-thread-2,78830784,0,78480760,80000000,14096472,536288776 
main,6347572917951169,6347572953422713,3,21,flatten,,0,143,pool-16-thread-2,35471544,0,35230684,40000000,4477128,546871816 
main,6347572953555531,6347573072895531,3,22,mixin,,0,143,pool-16-thread-2,119340000,0,116409395,110000000,28383496,568037856 
main,6347573073035696,6347573103123775,3,23,cleanup,,0,143,pool-16-thread-2,30088079,0,30092176,40000000,3369320,578620856 
main,6347573103261003,6347573197326415,3,24,delambdafy,,0,143,pool-16-thread-2,94065412,0,93799808,90000000,17729256,589203872 
main,6347573197468831,6347573975568510,3,25,jvm,,0,143,pool-16-thread-2,778099679,0,773810665,750000000,352756912,942638840 
main,6347573975678662,6347573987897296,3,26,xsbt-analyzer,,0,143,pool-16-thread-2,12218634,0,12175602,10000000,4097848,953221848 
info, 4, version, 2, output, /home/rory/perf_workspace/perf_tester/corpus/akka/akka-actor/target/scala-2.12/classes
header(main/background),startNs,endNs,runId,phaseId,phaseName,purpose,task-count,threadId,threadName,runNs,idleNs,cpuTimeNs,userTimeNs,allocatedByte,heapSize
header(GC),startNs,endNs,startMs,endMs,name,action,cause,threads
main,6347575563178599,6347575570084564,4,0,<init phase>,,0,164,pool-18-thread-6,6905965,0,6905365,0,4868264,481368792 
main,6347575570783352,6347575798774766,4,1,parser,,0,164,pool-18-thread-6,227991414,0,227925426,230000000,34955304,517268160 
main,6347575798940702,6347575813988341,4,2,namer,,0,164,pool-18-thread-6,15047639,0,15050666,20000000,3002608,519262568 
main,6347575814164795,6347575816393139,4,3,packageobjects,,0,164,pool-18-thread-6,2228344,0,2230603,0,227272,519262568 
main,6347575816560912,6347578324732030,4,4,typer,,0,164,pool-18-thread-6,2508171118,0,2502673458,2500000000,540755440,1061370704 
main,6347578324923172,6347578810828758,4,5,patmat,,0,164,pool-18-thread-6,485905586,0,482635205,490000000,105995320,1167282400 
main,6347578810976019,6347578858860457,4,6,superaccessors,,0,164,pool-18-thread-6,47884438,0,47801912,40000000,20882680,1189221216 
main,6347578858986841,6347578874428638,4,7,extmethods,,0,164,pool-18-thread-6,15441797,0,15445234,20000000,4219600,1193210064 
main,6347578874555166,6347578909442050,4,8,pickler,,0,164,pool-18-thread-6,34886884,0,34888818,30000000,17908704,1211184272 
GC,6347579165134322,6347579252134322,57652, 57738,PS Scavenge,end of minor GC,Allocation Failure,8
main,6347578909587572,6347579450135817,4,9,xsbt-api,,0,164,pool-18-thread-6,540548245,0,453504312,450000000,251549192,545048600 
main,6347579450260396,6347579563913432,4,10,xsbt-dependency,,0,164,pool-18-thread-6,113653036,0,113646848,100000000,59079120,606914480 
main,6347579564046600,6347579784992728,4,11,refchecks,,0,164,pool-18-thread-6,220946128,0,220929695,220000000,48203344,648189400 
main,6347579785113264,6347579961907375,4,12,uncurry,,0,164,pool-18-thread-6,176794111,0,176102593,170000000,32306552,689433408 
main,6347579962022533,6347580045928752,4,13,fields,,0,164,pool-18-thread-6,83906219,0,83903614,90000000,23817864,710055368 
main,6347580046051448,6347580100931963,4,14,tailcalls,,0,164,pool-18-thread-6,54880515,0,54167844,50000000,8748432,720366384 
main,6347580101064773,6347580313326613,4,15,specialize,,0,164,pool-18-thread-6,212261840,0,211664135,210000000,65287792,782232360 
main,6347580313473879,6347580410127755,4,16,explicitouter,,0,164,pool-18-thread-6,96653876,0,95788946,100000000,17712160,802868472 
main,6347580410263922,6347580963731905,4,17,erasure,,0,164,pool-18-thread-6,553467983,0,553416792,550000000,140743016,936919568 
main,6347580963857340,6347581009724250,4,18,posterasure,,0,164,pool-18-thread-6,45866910,0,45866978,50000000,12543392,957541552 
main,6347581009848889,6347581104687206,4,19,lambdalift,,0,164,pool-18-thread-6,94838317,0,94114488,90000000,17479952,967852520 
main,6347581104820580,6347581173702559,4,20,constructors,,0,164,pool-18-thread-6,68881979,0,68363570,70000000,14039616,988474424 
main,6347581173838847,6347581213769739,4,21,flatten,,0,164,pool-18-thread-6,39930892,0,39930819,40000000,4477128,988474424 
main,6347581213910483,6347581334525744,4,22,mixin,,0,164,pool-18-thread-6,120615261,0,120276875,120000000,28389104,1019407408 
main,6347581334656902,6347581373625995,4,23,cleanup,,0,164,pool-18-thread-6,38969093,0,38970381,40000000,4574392,1019407408 
main,6347581373768858,6347581443930713,4,24,delambdafy,,0,164,pool-18-thread-6,70161855,0,69576259,70000000,17696472,1040029416 
main,6347581444071798,6347582259178695,4,25,jvm,,0,164,pool-18-thread-6,815106897,0,812300113,790000000,352427336,1394813496 
main,6347582259288335,6347582266735721,4,26,xsbt-analyzer,,0,164,pool-18-thread-6,7447386,0,7380668,10000000,4074072,1394813496 
info, 5, version, 2, output, /home/rory/perf_workspace/perf_tester/corpus/akka/akka-actor/target/scala-2.12/classes
header(main/background),startNs,endNs,runId,phaseId,phaseName,purpose,task-count,threadId,threadName,runNs,idleNs,cpuTimeNs,userTimeNs,allocatedByte,heapSize
header(GC),startNs,endNs,startMs,endMs,name,action,cause,threads
main,6347583763796691,6347583770168117,5,0,<init phase>,,0,178,pool-20-thread-4,6371426,0,6370614,0,4865192,763301672 
main,6347583770826426,6347583895613866,5,1,parser,,0,178,pool-20-thread-4,124787440,0,124612383,130000000,34525168,797878352 
main,6347583895740837,6347583904637356,5,2,namer,,0,178,pool-20-thread-4,8896519,0,8899811,10000000,3002608,800039408 
main,6347583904771019,6347583906094914,5,3,packageobjects,,0,178,pool-20-thread-4,1323895,0,1326579,0,227336,800039408 
main,6347583906198830,6347586196446121,5,4,typer,,0,178,pool-20-thread-4,2290247291,0,2283349907,2280000000,540466280,1341820672 
main,6347586196584917,6347586585892267,5,5,patmat,,0,178,pool-20-thread-4,389307350,0,388666998,390000000,105795408,1447939032 
main,6347586586022775,6347586635544202,5,6,superaccessors,,0,178,pool-20-thread-4,49521427,0,49521275,50000000,20870952,1469549712 
main,6347586635675370,6347586652269175,5,7,extmethods,,0,178,pool-20-thread-4,16593805,0,16596347,20000000,4108680,1473871904 
main,6347586652392443,6347586688031948,5,8,pickler,,0,178,pool-20-thread-4,35639505,0,35413177,30000000,17910104,1491174912 
GC,6347586814612718,6347586890612718,65302, 65377,PS Scavenge,end of minor GC,Allocation Failure,8
main,6347586688174835,6347587201043808,5,9,xsbt-api,,0,178,pool-20-thread-4,512868973,0,436517783,440000000,251432328,616927424 
main,6347587201202997,6347587316186931,5,10,xsbt-dependency,,0,178,pool-20-thread-4,114983934,0,114977532,110000000,59079424,675550664 
main,6347587316309161,6347587530536315,5,11,refchecks,,0,178,pool-20-thread-4,214227154,0,214021272,220000000,48056032,724405296 
main,6347587530664867,6347587700503443,5,12,uncurry,,0,178,pool-20-thread-4,169838576,0,169827024,160000000,32303264,753716896 
main,6347587700624350,6347587780683596,5,13,fields,,0,178,pool-20-thread-4,80059246,0,80050651,80000000,23746056,773257968 
main,6347587780804070,6347587829048462,5,14,tailcalls,,0,178,pool-20-thread-4,48244392,0,48243873,50000000,8743712,783028520 
main,6347587829223792,6347588024442667,5,15,specialize,,0,178,pool-20-thread-4,195218875,0,194977682,200000000,65237400,851422064 
main,6347588024565504,6347588096426148,5,16,explicitouter,,0,178,pool-20-thread-4,71860644,0,71214359,70000000,17691248,870963192 
main,6347588096583739,6347588664207703,5,17,erasure,,0,178,pool-20-thread-4,567623964,0,567577346,570000000,140741096,1007758056 
main,6347588664336267,6347588710866647,5,18,posterasure,,0,178,pool-20-thread-4,46530380,0,46531827,40000000,12540816,1027299088 
main,6347588711007391,6347588806248075,5,19,lambdalift,,0,178,pool-20-thread-4,95240684,0,95220015,100000000,17460648,1037069592 
main,6347588806443008,6347588870138263,5,20,constructors,,0,178,pool-20-thread-4,63695255,0,63467113,60000000,14015720,1056610576 
main,6347588870286104,6347588908760517,5,21,flatten,,0,178,pool-20-thread-4,38474413,0,38275554,40000000,4477128,1056610576 
main,6347588908910413,6347589026939322,5,22,mixin,,0,178,pool-20-thread-4,118028909,0,117704634,120000000,28366600,1085922112 
main,6347589027076921,6347589052195527,5,23,cleanup,,0,178,pool-20-thread-4,25118606,0,24992493,30000000,3172976,1085922112 
