info, 1, version, 2, output, /home/rory/perf_workspace/perf_tester/corpus/akka/akka-actor/target/scala-2.12/classes
header(main/background),startNs,endNs,runId,phaseId,phaseName,purpose,task-count,threadId,threadName,runNs,idleNs,cpuTimeNs,userTimeNs,allocatedByte,heapSize
header(GC),startNs,endNs,startMs,endMs,name,action,cause,threads
main,35469509489270,35469520496468,1,0,<init phase>,,0,73,pool-12-thread-5,11007198,0,10805561,0,4878408,437866952 
GC,35469742898138,35469782898138,17132, 17171,PS Scavenge,end of minor GC,Allocation Failure,4
main,35469522721015,35470041660566,1,1,parser,,0,73,pool-12-thread-5,518939551,0,459019719,450000000,39858976,208556544 
main,35470041841085,35470085356147,1,2,namer,,0,73,pool-12-thread-5,43515062,0,42790692,40000000,3118600,211964216 
main,35470085508700,35470091173958,1,3,packageobjects,,0,73,pool-12-thread-5,5665258,0,5502865,10000000,273256,211964216 
GC,35473772877121,35473861877121,21175, 21263,PS Scavenge,end of minor GC,Allocation Failure,4
main,35470091333684,35476162191839,1,4,typer,,0,73,pool-12-thread-5,6070858155,0,5884210235,5870000000,541856024,444330648 
main,35476162390807,35477286061461,1,5,patmat,,0,73,pool-12-thread-5,1123670654,0,1097003107,1090000000,116147720,561786424 
main,35477286211887,35477469567642,1,6,superaccessors,,0,73,pool-12-thread-5,183355755,0,182377928,180000000,21398840,583858224 
main,35477469725584,35477527704249,1,7,extmethods,,0,73,pool-12-thread-5,57978665,0,57418692,60000000,4376336,589376232 
main,35477528424849,35477648476708,1,8,pickler,,0,73,pool-12-thread-5,120051859,0,115003678,110000000,18469784,605929968 
GC,35477777186280,35477860186280,25180, 25262,PS Scavenge,end of minor GC,Allocation Failure,4
main,35477648654440,35479045298256,1,9,xsbt-api,,0,73,pool-12-thread-5,1396643816,0,1291742076,1300000000,293061648,516203592 
main,35479045438756,35479418974760,1,10,xsbt-dependency,,0,73,pool-12-thread-5,373536004,0,371139320,350000000,68889400,587044608 
GC,35480128598759,35480223598759,27531, 27625,PS Scavenge,end of minor GC,Allocation Failure,4
main,35479419126238,35480249754898,1,11,refchecks,,0,73,pool-12-thread-5,830628660,0,726531869,730000000,53592592,245693320 
main,35480249911167,35480800929240,1,12,uncurry,,0,73,pool-12-thread-5,551018073,0,547464389,540000000,33392176,279706008 
main,35480801076774,35480982103503,1,13,fields,,0,73,pool-12-thread-5,181026729,0,178691502,180000000,24322344,296712400 
main,35480982277470,35481107329219,1,14,tailcalls,,0,73,pool-12-thread-5,125051749,0,121497495,120000000,9251304,305215552 
main,35481108054596,35481653476398,1,15,specialize,,0,73,pool-12-thread-5,545421802,0,527940408,520000000,72326472,382873368 
main,35481653634382,35481816379413,1,16,explicitouter,,0,73,pool-12-thread-5,162745031,0,161843184,170000000,28985304,408382840 
main,35481816528130,35483418516212,1,17,erasure,,0,73,pool-12-thread-5,1601988082,0,1590239538,1590000000,146532224,564695960 
main,35483418665720,35483531328591,1,18,posterasure,,0,73,pool-12-thread-5,112662871,0,111700465,100000000,12796968,573199184 
main,35483531505323,35483780093890,1,19,lambdalift,,0,73,pool-12-thread-5,248588567,0,242011386,230000000,30830720,607211792 
