info, 1, version, 2, output, /home/rory/perf_workspace/perf_tester/corpus/akka/akka-actor/target/scala-2.12/classes
header(main/background),startNs,endNs,runId,phaseId,phaseName,purpose,task-count,threadId,threadName,runNs,idleNs,cpuTimeNs,userTimeNs,allocatedByte,heapSize
header(GC),startNs,endNs,startMs,endMs,name,action,cause,threads
GC,2067514059021452,2067514093021452,11027, 11060,PS Scavenge,end of minor GC,Metadata GC Threshold,4
GC,2067513906845116,2067514097845116,11060, 11250,PS MarkSweep,end of major GC,Metadata GC Threshold,4
main,2067514167316925,2067514183765986,1,0,<init phase>,,0,71,pool-12-thread-5,16449061,0,16369320,10000000,5143088,123111160 
main,2067514189758496,2067514882247378,1,1,parser,,0,71,pool-12-thread-5,692488882,0,683023772,670000000,42367216,166618360 
main,2067514882430407,2067515043085577,1,2,namer,,0,71,pool-12-thread-5,160655170,0,153239441,150000000,5326368,171346344 
main,2067515043219383,2067515074814188,1,3,packageobjects,,0,71,pool-12-thread-5,31594805,0,30499385,30000000,1341544,172458248 
GC,2067520065167588,2067520107167588,17227, 17268,PS Scavenge,end of minor GC,Allocation Failure,4
GC,2067523194479947,2067523249479947,20356, 20410,PS Scavenge,end of minor GC,Allocation Failure,4
main,2067515074959327,2067523498517460,1,4,typer,,0,71,pool-12-thread-5,8423558133,0,8174983809,8140000000,573121072,191632872 
main,2067523498680633,2067524856543881,1,5,patmat,,0,71,pool-12-thread-5,1357863248,0,1326879878,1320000000,132297576,327775112 
main,2067524856700824,2067525079426170,1,6,superaccessors,,0,71,pool-12-thread-5,222725346,0,220851777,210000000,21476048,347299856 
main,2067525079591992,2067525149117385,1,7,extmethods,,0,71,pool-12-thread-5,69525393,0,68394121,70000000,5075008,352181008 
main,2067525149677662,2067525283086338,1,8,pickler,,0,71,pool-12-thread-5,133408676,0,128787102,130000000,18760960,371705664 
GC,2067526212175619,2067526263175619,23374, 23424,PS Scavenge,end of minor GC,Allocation Failure,4
main,2067525283231092,2067526717898011,1,9,xsbt-api,,0,71,pool-12-thread-5,1434666919,0,1368799927,1370000000,293564792,306867696 
main,2067526718023898,2067527150218609,1,10,xsbt-dependency,,0,71,pool-12-thread-5,432194711,0,429756892,400000000,75108888,382512416 
main,2067527150342279,2067528038022346,1,11,refchecks,,0,71,pool-12-thread-5,887680067,0,882128360,880000000,52892192,434942256 
main,2067528038158089,2067528522770338,1,12,uncurry,,0,71,pool-12-thread-5,484612249,0,477397814,480000000,32479712,463908696 
main,2067528522902505,2067528802102440,1,13,fields,,0,71,pool-12-thread-5,279199935,0,276665656,280000000,25601944,492876192 
main,2067528802239728,2067528959474223,1,14,tailcalls,,0,71,pool-12-thread-5,157234495,0,148736710,140000000,9620376,498669464 
GC,2067529507824323,2067529573824323,26669, 26734,PS Scavenge,end of minor GC,Allocation Failure,4
main,2067528959604968,2067529709349700,1,15,specialize,,0,71,pool-12-thread-5,749744732,0,664750742,670000000,81045880,217060608 
