info, 1, version, 2, output, /home/rory/perf_workspace/perf_tester/corpus/akka/akka-actor/target/scala-2.12/classes
header(main/background),startNs,endNs,runId,phaseId,phaseName,purpose,task-count,threadId,threadName,runNs,idleNs,cpuTimeNs,userTimeNs,allocatedByte,heapSize
header(GC),startNs,endNs,startMs,endMs,name,action,cause,threads
GC,2079539604587462,2079539634587462,10711, 10740,PS Scavenge,end of minor GC,Allocation Failure,4
GC,2079540127121393,2079540167121393,11070, 11109,PS Scavenge,end of minor GC,Metadata GC Threshold,4
GC,2079539993549673,2079540167549673,11109, 11282,PS MarkSweep,end of major GC,Metadata GC Threshold,4
main,2079540249807452,2079540265276855,1,0,<init phase>,,0,72,pool-12-thread-6,15469403,0,15422294,20000000,5142944,123093240 
main,2079540271254742,2079540960626522,1,1,parser,,0,72,pool-12-thread-6,689371780,0,679989465,680000000,42318544,166464312 
main,2079540960811120,2079541116341220,1,2,namer,,0,72,pool-12-thread-6,155530100,0,153936173,150000000,5326368,171514944 
main,2079541116473416,2079541147264996,1,3,packageobjects,,0,72,pool-12-thread-6,30791580,0,30319454,30000000,1341456,172775680 
GC,2079546135888611,2079546171888611,17252, 17287,PS Scavenge,end of minor GC,Allocation Failure,4
GC,2079549025467160,2079549082467160,20143, 20199,PS Scavenge,end of minor GC,Allocation Failure,4
main,2079541147404790,2079549200013248,1,4,typer,,0,72,pool-12-thread-6,8052608458,0,7748480178,7720000000,569570584,177610944 
main,2079549200193458,2079550638785196,1,5,patmat,,0,72,pool-12-thread-6,1438591738,0,1392894330,1380000000,132098800,309569312 
main,2079550638914592,2079550839141239,1,6,superaccessors,,0,72,pool-12-thread-6,200226647,0,198714119,200000000,21606176,330358496 
main,2079550839298561,2079550928660543,1,7,extmethods,,0,72,pool-12-thread-6,89361982,0,87035031,90000000,5147360,335555920 
main,2079550929194689,2079551066284108,1,8,pickler,,0,72,pool-12-thread-6,137089419,0,129092132,130000000,18751560,356350192 
GC,2079552144803160,2079552192803160,23262, 23309,PS Scavenge,end of minor GC,Allocation Failure,4
main,2079551066411938,2079552495758498,1,9,xsbt-api,,0,72,pool-12-thread-6,1429346560,0,1367899912,1360000000,282097608,253668896 
main,2079552495878675,2079552889590384,1,10,xsbt-dependency,,0,72,pool-12-thread-6,393711709,0,389860180,370000000,77053656,334286776 
main,2079552889708819,2079553604853171,1,11,refchecks,,0,72,pool-12-thread-6,715144352,0,702532308,700000000,53897152,385102944 
main,2079553604982152,2079554321253901,1,12,uncurry,,0,72,pool-12-thread-6,716271749,0,706031070,710000000,32706416,422150960 
main,2079554321390296,2079554603465261,1,13,fields,,0,72,pool-12-thread-6,282074965,0,277983003,280000000,25916232,446849488 
main,2079554603594733,2079554748690182,1,14,tailcalls,,0,72,pool-12-thread-6,145095449,0,142837524,140000000,9769080,453024144 
main,2079554748816423,2079555392201927,1,15,specialize,,0,72,pool-12-thread-6,643385504,0,620377456,620000000,74416256,527119568 
main,2079555392333937,2079555574873970,1,16,explicitouter,,0,72,pool-12-thread-6,182540033,0,180032952,180000000,23475248,551818136 
GC,2079556183504017,2079556254504017,27301, 27371,PS Scavenge,end of minor GC,Allocation Failure,4
main,2079555575014067,2079557464784472,1,17,erasure,,0,72,pool-12-thread-6,1889770405,0,1796535245,1800000000,155257096,333994424 
main,2079557464909502,2079557599836278,1,18,posterasure,,0,72,pool-12-thread-6,134926776,0,134370501,130000000,12743440,342227608 
main,2079557599988170,2079557863747956,1,19,lambdalift,,0,72,pool-12-thread-6,263759786,0,260042602,260000000,26413976,367157312 
main,2079557863884884,2079558111000581,1,20,constructors,,0,72,pool-12-thread-6,247115697,0,237898362,240000000,15898288,383623704 
main,2079558111149785,2079558204825869,1,21,flatten,,0,72,pool-12-thread-6,93676084,0,92831861,90000000,4534016,391856888 
main,2079558204979476,2079558560206308,1,22,mixin,,0,72,pool-12-thread-6,355226832,0,349070514,350000000,30371712,416798904 
main,2079558560336677,2079558624830642,1,23,cleanup,,0,72,pool-12-thread-6,64493965,0,59475165,60000000,4796640,425032152 
main,2079558624963331,2079558793580146,1,24,delambdafy,,0,72,pool-12-thread-6,168616815,0,163682834,160000000,18627808,441498520 
GC,2079560584923329,2079560674923329,31702, 31791,PS Scavenge,end of minor GC,Allocation Failure,4
main,2079558793698232,2079561179489132,1,25,jvm,,0,72,pool-12-thread-6,2385790900,0,2231144053,2170000000,377163568,338124864 
main,2079561179616932,2079561200516914,1,26,xsbt-analyzer,,0,72,pool-12-thread-6,20899982,0,17998221,20000000,5275160,346893216 
info, 2, version, 2, output, /home/rory/perf_workspace/perf_tester/corpus/akka/akka-actor/target/scala-2.12/classes
header(main/background),startNs,endNs,runId,phaseId,phaseName,purpose,task-count,threadId,threadName,runNs,idleNs,cpuTimeNs,userTimeNs,allocatedByte,heapSize
header(GC),startNs,endNs,startMs,endMs,name,action,cause,threads
main,2079564318269071,2079564326473358,2,0,<init phase>,,0,83,pool-14-thread-4,8204287,0,8176534,0,4866704,371425392 
main,2079564327388762,2079564562288051,2,1,parser,,0,83,pool-14-thread-4,234899289,0,212548083,220000000,35480264,408236688 
main,2079564562412380,2079564588423968,2,2,namer,,0,83,pool-14-thread-4,26011588,0,25304457,20000000,3046176,411583176 
main,2079564588544803,2079564591089954,2,3,packageobjects,,0,83,pool-14-thread-4,2545151,0,2549549,0,235464,411583176 
GC,2079567805428879,2079567920428879,38923, 39037,PS Scavenge,end of minor GC,Allocation Failure,4
main,2079564591211832,2079568837548597,2,4,typer,,0,83,pool-14-thread-4,4246336765,0,4000004413,3980000000,527411656,417088360 
main,2079568837707179,2079569586618504,2,5,patmat,,0,83,pool-14-thread-4,748911325,0,698209045,700000000,112844384,531380904 
main,2079569586753084,2079569689356063,2,6,superaccessors,,0,83,pool-14-thread-4,102602979,0,100625141,100000000,21172096,555143792 
main,2079569689476297,2079569714374245,2,7,extmethods,,0,83,pool-14-thread-4,24897948,0,24655179,20000000,4251976,555143792 
main,2079569714500094,2079569786102994,2,8,pickler,,0,83,pool-14-thread-4,71602900,0,71002828,80000000,18427296,572966360 
main,2079569786230474,2079570567908699,2,9,xsbt-api,,0,83,pool-14-thread-4,781678225,0,778016081,770000000,259829656,834361848 
GC,2079570709943451,2079570843943451,41827, 41960,PS Scavenge,end of minor GC,Allocation Failure,4
main,2079570568054954,2079570977945061,2,10,xsbt-dependency,,0,83,pool-14-thread-4,409890107,0,274555580,250000000,67418400,345028016 
main,2079570978082426,2079571694114597,2,11,refchecks,,0,83,pool-14-thread-4,716032171,0,713496837,710000000,50270312,398621496 
main,2079571694234170,2079571995428351,2,12,uncurry,,0,83,pool-14-thread-4,301194181,0,297891603,300000000,31258952,425257712 
main,2079571995550011,2079572147986944,2,13,fields,,0,83,pool-14-thread-4,152436933,0,147297837,150000000,24201384,451893936 
main,2079572148136941,2079572231505456,2,14,tailcalls,,0,83,pool-14-thread-4,83368515,0,83127769,80000000,8973552,460772616 
main,2079572231643119,2079572662109210,2,15,specialize,,0,83,pool-14-thread-4,430466091,0,427551753,430000000,70112160,531802280 
main,2079572662233865,2079572792314427,2,16,explicitouter,,0,83,pool-14-thread-4,130080562,0,128719156,130000000,17811424,549559768 
main,2079572792442659,2079573934587269,2,17,erasure,,0,83,pool-14-thread-4,1142144610,0,1137835889,1130000000,141052528,691703968 
main,2079573934719001,2079574057814935,2,18,posterasure,,0,83,pool-14-thread-4,123095934,0,122337898,130000000,12516480,700641296 
main,2079574057948066,2079574253412335,2,19,lambdalift,,0,83,pool-14-thread-4,195464269,0,194597757,190000000,18382144,718398784 
main,2079574253536879,2079574342635069,2,20,constructors,,0,83,pool-14-thread-4,89098190,0,89049576,90000000,14406224,736156192 
main,2079574342759931,2079574398790922,2,21,flatten,,0,83,pool-14-thread-4,56030991,0,56036909,60000000,4477632,736156192 
main,2079574398914848,2079574606468282,2,22,mixin,,0,83,pool-14-thread-4,207553434,0,205518766,200000000,28601624,771670992 
main,2079574606613670,2079574653890212,2,23,cleanup,,0,83,pool-14-thread-4,47276542,0,47281287,50000000,4549064,771670992 
main,2079574654027712,2079574746142837,2,24,delambdafy,,0,83,pool-14-thread-4,92115125,0,92121313,90000000,17922896,789428448 
GC,2079575485358322,2079575606358322,46603, 46723,PS Scavenge,end of minor GC,Allocation Failure,4
main,2079574746286461,2079576236136580,2,25,jvm,,0,83,pool-14-thread-4,1489850119,0,1359896427,1350000000,359168384,528268816 
main,2079576236255125,2079576244909356,2,26,xsbt-analyzer,,0,83,pool-14-thread-4,8654231,0,8660525,10000000,4174112,528268816 
info, 3, version, 2, output, /home/rory/perf_workspace/perf_tester/corpus/akka/akka-actor/target/scala-2.12/classes
header(main/background),startNs,endNs,runId,phaseId,phaseName,purpose,task-count,threadId,threadName,runNs,idleNs,cpuTimeNs,userTimeNs,allocatedByte,heapSize
header(GC),startNs,endNs,startMs,endMs,name,action,cause,threads
main,2079577829077707,2079577839429845,3,0,<init phase>,,0,96,pool-16-thread-2,10352138,0,8476302,10000000,4866704,937466760 
main,2079577841289052,2079578020343116,3,1,parser,,0,96,pool-16-thread-2,179054064,0,172283067,170000000,35128360,973567632 
main,2079578020462084,2079578031846143,3,2,namer,,0,96,pool-16-thread-2,11384059,0,11378609,20000000,3045760,976844488 
main,2079578031968125,2079578033911067,3,3,packageobjects,,0,96,pool-16-thread-2,1942942,0,1941501,0,233344,976844488 
GC,2079578134965447,2079578291965447,49252, 49408,PS Scavenge,end of minor GC,Allocation Failure,4
main,2079578034019560,2079581680184717,3,4,typer,,0,96,pool-16-thread-2,3646165157,0,3323953750,3310000000,512761808,864826928 
main,2079581680322252,2079582404989187,3,5,patmat,,0,96,pool-16-thread-2,724666935,0,685321818,690000000,110645128,975891904 
main,2079582405133805,2079582461787914,3,6,superaccessors,,0,96,pool-16-thread-2,56654109,0,56359348,60000000,20918024,996675624 
main,2079582461912624,2079582481800864,3,7,extmethods,,0,96,pool-16-thread-2,19888240,0,19689778,20000000,4241032,998984984 
main,2079582481924222,2079582550702076,3,8,pickler,,0,96,pool-16-thread-2,68777854,0,68553082,60000000,18419200,1017498056 
GC,2079582776584690,2079582945584690,53894, 54062,PS Scavenge,end of minor GC,Allocation Failure,4
main,2079582550834014,2079583373922262,3,9,xsbt-api,,0,96,pool-16-thread-2,823088248,0,648765643,650000000,254017272,583920032 
main,2079583374256119,2079583587137940,3,10,xsbt-dependency,,0,96,pool-16-thread-2,212881821,0,212802069,210000000,61490424,643606992 
main,2079583587260082,2079583933593742,3,11,refchecks,,0,96,pool-16-thread-2,346333660,0,344929272,340000000,49292104,690030264 
main,2079583933716170,2079584185531987,3,12,uncurry,,0,96,pool-16-thread-2,251815817,0,251462494,250000000,31256096,723189736 
main,2079584185664559,2079584311381329,3,13,fields,,0,96,pool-16-thread-2,125716770,0,125724169,130000000,24017136,749717344 
main,2079584311504458,2079584385321674,3,14,tailcalls,,0,96,pool-16-thread-2,73817216,0,73823465,70000000,8956480,756349200 
main,2079584385447836,2079584678911004,3,15,specialize,,0,96,pool-16-thread-2,293463168,0,292886067,300000000,69373720,829300456 
main,2079584679038961,2079584787566812,3,16,explicitouter,,0,96,pool-16-thread-2,108527851,0,107013073,100000000,17765992,842564216 
main,2079584787699363,2079585788775190,3,17,erasure,,0,96,pool-16-thread-2,1001075827,0,995629251,1000000000,140309688,981834464 
main,2079585788909355,2079585864231111,3,18,posterasure,,0,96,pool-16-thread-2,75321756,0,75275648,70000000,12511312,995098296 
main,2079585864364938,2079586016687903,3,19,lambdalift,,0,96,pool-16-thread-2,152322965,0,152234718,160000000,18181064,1014994048 
main,2079586016811598,2079586096786616,3,20,constructors,,0,96,pool-16-thread-2,79975018,0,79981698,80000000,14370960,1028257808 
main,2079586096915437,2079586147502799,3,21,flatten,,0,96,pool-16-thread-2,50587362,0,50593272,50000000,4477632,1034889712 
main,2079586147636696,2079586316947255,3,22,mixin,,0,96,pool-16-thread-2,169310559,0,168036445,170000000,28555624,1061417368 
main,2079586317071908,2079586361885453,3,23,cleanup,,0,96,pool-16-thread-2,44813545,0,44678577,40000000,4547872,1068049264 
main,2079586362012112,2079586449004480,3,24,delambdafy,,0,96,pool-16-thread-2,86992368,0,86998967,90000000,17905088,1087945120 
GC,2079586703460321,2079586911460321,57821, 58028,PS Scavenge,end of minor GC,Allocation Failure,4
main,2079586449131751,2079587815253456,3,25,jvm,,0,96,pool-16-thread-2,1366121705,0,1147858502,1090000000,360411240,736227136 
main,2079587815366601,2079587824149571,3,26,xsbt-analyzer,,0,96,pool-16-thread-2,8782970,0,8788698,0,4154752,736227136 
info, 4, version, 2, output, /home/rory/perf_workspace/perf_tester/corpus/akka/akka-actor/target/scala-2.12/classes
header(main/background),startNs,endNs,runId,phaseId,phaseName,purpose,task-count,threadId,threadName,runNs,idleNs,cpuTimeNs,userTimeNs,allocatedByte,heapSize
header(GC),startNs,endNs,startMs,endMs,name,action,cause,threads
