info, 1, version, 2, output, /home/rory/perf_workspace/perf_tester/corpus/akka/akka-actor/target/scala-2.12/classes
header(main/background),startNs,endNs,runId,phaseId,phaseName,purpose,task-count,threadId,threadName,runNs,idleNs,cpuTimeNs,userTimeNs,allocatedByte,heapSize
header(GC),startNs,endNs,startMs,endMs,name,action,cause,threads
GC,2073515958130865,2073515995130865,10670, 10706,PS Scavenge,end of minor GC,Allocation Failure,4
GC,2073516489204857,2073516523204857,11022, 11055,PS Scavenge,end of minor GC,Metadata GC Threshold,4
GC,2073516340678201,2073516523678201,11055, 11237,PS MarkSweep,end of major GC,Metadata GC Threshold,4
main,2073516607091887,2073516622984870,1,0,<init phase>,,0,72,pool-12-thread-5,15892983,0,15838635,10000000,5142896,124108952 
main,2073516628988180,2073517314718634,1,1,parser,,0,72,pool-12-thread-5,685730454,0,675526482,670000000,42285136,165909520 
main,2073517314918549,2073517481320589,1,2,namer,,0,72,pool-12-thread-5,166402040,0,164369488,170000000,5376208,172057232 
main,2073517481454376,2073517510525443,1,3,packageobjects,,0,72,pool-12-thread-5,29071067,0,28568384,30000000,1328224,173593416 
GC,2073521611849510,2073521643849510,16328, 16359,PS Scavenge,end of minor GC,Allocation Failure,4
GC,2073524708167494,2073524764167494,19424, 19479,PS Scavenge,end of minor GC,Allocation Failure,4
main,2073517510658427,2073525005995589,1,4,typer,,0,72,pool-12-thread-5,7495337162,0,7182177290,7140000000,565324272,187704040 
main,2073525006155939,2073526510591135,1,5,patmat,,0,72,pool-12-thread-5,1504435196,0,1460293862,1460000000,131535136,319154768 
main,2073526510752004,2073526726979788,1,6,superaccessors,,0,72,pool-12-thread-5,216227784,0,211934636,210000000,21669024,339967992 
main,2073526727144874,2073526793841999,1,7,extmethods,,0,72,pool-12-thread-5,66697125,0,66176408,60000000,5141952,345171296 
main,2073526794416161,2073526939860481,1,8,pickler,,0,72,pool-12-thread-5,145444320,0,140745895,140000000,18766856,365988480 
GC,2073527886581277,2073527944581277,22601, 22658,PS Scavenge,end of minor GC,Allocation Failure,4
main,2073526939989368,2073528465563640,1,9,xsbt-api,,0,72,pool-12-thread-5,1525574272,0,1447145097,1450000000,304022248,295024920 
main,2073528465690654,2073528884160991,1,10,xsbt-dependency,,0,72,pool-12-thread-5,418470337,0,414091392,380000000,73542328,368616280 
main,2073528884288743,2073529763767126,1,11,refchecks,,0,72,pool-12-thread-5,879478383,0,864208515,870000000,53327928,419992600 
main,2073529763904744,2073530313690331,1,12,uncurry,,0,72,pool-12-thread-5,549785587,0,543103160,540000000,32722368,456761616 
main,2073530313822747,2073530578610485,1,13,fields,,0,72,pool-12-thread-5,264787738,0,261228860,260000000,25882264,481274824 
main,2073530578745711,2073530743936396,1,14,tailcalls,,0,72,pool-12-thread-5,165190685,0,158339746,160000000,9637504,487403048 
main,2073530744084361,2073531358550415,1,15,specialize,,0,72,pool-12-thread-5,614466054,0,581144676,570000000,74367016,567086568 
GC,2073531461591537,2073531542591537,26177, 26257,PS Scavenge,end of minor GC,Allocation Failure,4
main,2073531358676186,2073531622252832,1,16,explicitouter,,0,72,pool-12-thread-5,263576646,0,179976009,180000000,24155352,211455352 
main,2073531622403237,2073533143509323,1,17,erasure,,0,72,pool-12-thread-5,1521106086,0,1491894468,1480000000,153433288,368546120 
main,2073533143644495,2073533266366297,1,18,posterasure,,0,72,pool-12-thread-5,122721802,0,122606352,130000000,12745376,376698416 
main,2073533266529181,2073533604712293,1,19,lambdalift,,0,72,pool-12-thread-5,338183112,0,329990011,320000000,19564008,393002992 
main,2073533604859939,2073533775885527,1,20,constructors,,0,72,pool-12-thread-5,171025588,0,165656367,170000000,15945384,409350640 
main,2073533776065229,2073533850384203,1,21,flatten,,0,72,pool-12-thread-5,74318974,0,74088029,70000000,4533728,417502936 
main,2073533850535957,2073534222136916,1,22,mixin,,0,72,pool-12-thread-5,371600959,0,363200373,360000000,30442808,450112256 
main,2073534222294048,2073534290444206,1,23,cleanup,,0,72,pool-12-thread-5,68150158,0,68002802,70000000,4804776,450380808 
main,2073534290574389,2073534449008038,1,24,delambdafy,,0,72,pool-12-thread-5,158433649,0,154201684,160000000,18590168,474837760 
GC,2073535956323057,2073536031323057,30672, 30746,PS Scavenge,end of minor GC,Allocation Failure,4
main,2073534449134893,2073536721437247,1,25,jvm,,0,72,pool-12-thread-5,2272302354,0,2089863490,2060000000,377319992,381231784 
