info, 1, version, 2, output, /home/rory/perf_workspace/perf_tester/corpus/akka/akka-actor/target/scala-2.12/classes
header(main/background),startNs,endNs,runId,phaseId,phaseName,purpose,task-count,threadId,threadName,runNs,idleNs,cpuTimeNs,userTimeNs,allocatedByte,heapSize
header(GC),startNs,endNs,startMs,endMs,name,action,cause,threads
GC,2085532846060240,2085532888060240,11286, 11327,PS Scavenge,end of minor GC,Metadata GC Threshold,4
GC,2085532700166745,2085532894166745,11327, 11520,PS MarkSweep,end of major GC,Metadata GC Threshold,4
main,2085532965873146,2085532982398809,1,0,<init phase>,,0,68,pool-12-thread-2,16525663,0,16348008,20000000,5142944,127645880 
main,2085532988656915,2085533670307418,1,1,parser,,0,68,pool-12-thread-2,681650503,0,670142469,660000000,42400176,170423632 
main,2085533670492904,2085533834138443,1,2,namer,,0,68,pool-12-thread-2,163645539,0,153420077,160000000,5326368,175250312 
main,2085533834273281,2085533863145702,1,3,packageobjects,,0,68,pool-12-thread-2,28872421,0,28536112,20000000,1341544,177208984 
GC,2085538831294111,2085538865294111,17468, 17501,PS Scavenge,end of minor GC,Allocation Failure,4
GC,2085542425898623,2085542485898623,21063, 21122,PS Scavenge,end of minor GC,Allocation Failure,4
main,2085533863277561,2085543037836262,1,4,typer,,0,68,pool-12-thread-2,9174558701,0,8957016030,8940000000,574521248,227749496 
main,2085543038004178,2085544340800719,1,5,patmat,,0,68,pool-12-thread-2,1302796541,0,1285356441,1260000000,129833456,356512768 
main,2085544340955268,2085544473829047,1,6,superaccessors,,0,68,pool-12-thread-2,132873779,0,130958130,140000000,21525656,378681616 
main,2085544473989094,2085544547497282,1,7,extmethods,,0,68,pool-12-thread-2,73508188,0,70105571,60000000,5117136,383115416 
main,2085544548083317,2085544726585457,1,8,pickler,,0,68,pool-12-thread-2,178502140,0,167202843,160000000,18736408,400850392 
GC,2085545403261454,2085545454261454,24041, 24091,PS Scavenge,end of minor GC,Allocation Failure,4
main,2085544726722302,2085546126716958,1,9,xsbt-api,,0,68,pool-12-thread-2,1399994656,0,1336426336,1340000000,297948960,364411792 
main,2085546126847355,2085546559395569,1,10,xsbt-dependency,,0,68,pool-12-thread-2,432548214,0,430360940,410000000,75786080,439128784 
main,2085546559549537,2085547397955410,1,11,refchecks,,0,68,pool-12-thread-2,838405873,0,829380847,830000000,52418752,492463952 
main,2085547398091480,2085548019414410,1,12,uncurry,,0,68,pool-12-thread-2,621322930,0,616801663,610000000,32812872,524465016 
GC,2085548151682215,2085548210682215,26789, 26847,PS Scavenge,end of minor GC,Allocation Failure,4
main,2085548019551931,2085548342017226,1,13,fields,,0,68,pool-12-thread-2,322465295,0,259192755,260000000,25948968,211174744 
main,2085548342143767,2085548495460786,1,14,tailcalls,,0,68,pool-12-thread-2,153317019,0,147688541,150000000,9704312,218032960 
main,2085548495594462,2085549211817400,1,15,specialize,,0,68,pool-12-thread-2,716222938,0,691918436,690000000,74512696,293098504 
main,2085549211945341,2085549377402660,1,16,explicitouter,,0,68,pool-12-thread-2,165457319,0,162797900,160000000,18096752,316197424 
main,2085549377553116,2085551436224278,1,17,erasure,,0,68,pool-12-thread-2,2058671162,0,2032887916,2020000000,151483192,466691920 
main,2085551436362379,2085551544446775,1,18,posterasure,,0,68,pool-12-thread-2,108084396,0,107255991,110000000,12738576,480337264 
main,2085551544620416,2085551814904000,1,19,lambdalift,,0,68,pool-12-thread-2,270283584,0,264234307,260000000,19554928,500805192 
main,2085551815051022,2085551984864477,1,20,constructors,,0,68,pool-12-thread-2,169813455,0,166031654,160000000,15830000,514450464 
main,2085551985221414,2085552052310584,1,21,flatten,,0,68,pool-12-thread-2,67089170,0,67083925,70000000,4534072,521273144 
main,2085552052450899,2085552367413348,1,22,mixin,,0,68,pool-12-thread-2,314962449,0,310531253,310000000,30099120,548563736 
main,2085552367565902,2085552426894878,1,23,cleanup,,0,68,pool-12-thread-2,59328976,0,59332946,60000000,4780320,555386360 
main,2085552427028239,2085552590349680,1,24,delambdafy,,0,68,pool-12-thread-2,163321441,0,160323017,160000000,18585568,575854392 
GC,2085552903124360,2085552992124360,31541, 31629,PS Scavenge,end of minor GC,Allocation Failure,4
main,2085552590477487,2085554819810174,1,25,jvm,,0,68,pool-12-thread-2,2229332687,0,2072967668,2030000000,387006256,571537656 
main,2085554819943578,2085554837392637,1,26,xsbt-analyzer,,0,68,pool-12-thread-2,17449059,0,17349289,20000000,5274984,578806088 
info, 2, version, 2, output, /home/rory/perf_workspace/perf_tester/corpus/akka/akka-actor/target/scala-2.12/classes
header(main/background),startNs,endNs,runId,phaseId,phaseName,purpose,task-count,threadId,threadName,runNs,idleNs,cpuTimeNs,userTimeNs,allocatedByte,heapSize
header(GC),startNs,endNs,startMs,endMs,name,action,cause,threads
main,2085557830504299,2085557839636273,2,0,<init phase>,,0,80,pool-14-thread-2,9131974,0,8902917,10000000,4866704,662157920 
GC,2085558010170747,2085558095170747,36648, 36732,PS Scavenge,end of minor GC,Allocation Failure,4
main,2085557840654555,2085558160549045,2,1,parser,,0,80,pool-14-thread-2,319894490,0,206223105,210000000,35463240,254873344 
main,2085558160705011,2085558178486122,2,2,namer,,0,80,pool-14-thread-2,17781111,0,16980953,10000000,3061560,256595856 
main,2085558178611749,2085558181187858,2,3,packageobjects,,0,80,pool-14-thread-2,2576109,0,2580496,10000000,238736,258318408 
GC,2085561708694239,2085561829694239,40346, 40466,PS Scavenge,end of minor GC,Allocation Failure,4
main,2085558181310639,2085562361378996,2,4,typer,,0,80,pool-14-thread-2,4180068357,0,3996192929,3970000000,524625136,353686800 
main,2085562361519819,2085563089876602,2,5,patmat,,0,80,pool-14-thread-2,728356783,0,698308181,700000000,113090416,468414240 
main,2085563090007987,2085563178654406,2,6,superaccessors,,0,80,pool-14-thread-2,88646419,0,85035187,90000000,21106360,487485016 
main,2085563178788996,2085563206760717,2,7,extmethods,,0,80,pool-14-thread-2,27971721,0,27925966,30000000,4252816,492252760 
main,2085563206894711,2085563271987078,2,8,pickler,,0,80,pool-14-thread-2,65092367,0,64694527,60000000,18421800,511327464 
main,2085563272115373,2085564163817694,2,9,xsbt-api,,0,80,pool-14-thread-2,891702321,0,889868936,890000000,257215544,768782136 
