info, 1, version, 2, output, /home/rory/perf_workspace/perf_tester/corpus/akka/akka-actor/target/scala-2.12/classes
header(main/background),startNs,endNs,runId,phaseId,phaseName,purpose,task-count,threadId,threadName,runNs,idleNs,cpuTimeNs,userTimeNs,allocatedByte,heapSize
header(GC),startNs,endNs,startMs,endMs,name,action,cause,threads
GC,2091610871427020,2091610909427020,10867, 10904,PS Scavenge,end of minor GC,Allocation Failure,4
GC,2091611380463542,2091611413463542,11192, 11224,PS Scavenge,end of minor GC,Metadata GC Threshold,4
GC,2091611226004103,2091611414004103,11224, 11411,PS MarkSweep,end of major GC,Metadata GC Threshold,4
main,2091611496828417,2091611512456583,1,0,<init phase>,,0,67,pool-12-thread-2,15628166,0,15547179,20000000,5143040,123934688 
main,2091611518543071,2091612198855081,1,1,parser,,0,67,pool-12-thread-2,680312010,0,662470271,660000000,42285464,166029152 
main,2091612199045555,2091612352088623,1,2,namer,,0,67,pool-12-thread-2,153043068,0,151304197,160000000,5325576,172011384 
main,2091612352225195,2091612383039680,1,3,packageobjects,,0,67,pool-12-thread-2,30814485,0,30346293,30000000,1340696,173506840 
GC,2091617116747188,2091617177747188,17116, 17176,PS Scavenge,end of minor GC,Allocation Failure,4
main,2091612383186377,2091620296672723,1,4,typer,,0,67,pool-12-thread-2,7913486346,0,7673349578,7650000000,563255312,470875408 
GC,2091620305432967,2091620356432967,20305, 20355,PS Scavenge,end of minor GC,Allocation Failure,4
main,2091620296857100,2091621815178417,1,5,patmat,,0,67,pool-12-thread-2,1518321317,0,1429875627,1420000000,132741576,297426488 
main,2091621815341837,2091622043769233,1,6,superaccessors,,0,67,pool-12-thread-2,228427396,0,227209659,230000000,21657888,318584312 
main,2091622043950166,2091622139855881,1,7,extmethods,,0,67,pool-12-thread-2,95905715,0,94224768,90000000,5125512,323873760 
main,2091622140545384,2091622283085874,1,8,pickler,,0,67,pool-12-thread-2,142540490,0,136126069,140000000,18763136,345031552 
GC,2091623389214487,2091623440214487,23385, 23435,PS Scavenge,end of minor GC,Allocation Failure,4
main,2091622283228126,2091623670302453,1,9,xsbt-api,,0,67,pool-12-thread-2,1387074327,0,1324496479,1320000000,276245856,241966688 
main,2091623670427642,2091624047546666,1,10,xsbt-dependency,,0,67,pool-12-thread-2,377119024,0,375578669,360000000,72133368,310281568 
main,2091624047665566,2091624766188921,1,11,refchecks,,0,67,pool-12-thread-2,718523355,0,709869013,710000000,52522736,366835528 
main,2091624766320150,2091625348264436,1,12,uncurry,,0,67,pool-12-thread-2,581944286,0,579107388,570000000,32458104,397863088 
main,2091625348397399,2091625659521762,1,13,fields,,0,67,pool-12-thread-2,311124363,0,305440845,310000000,25902000,422685104 
main,2091625659659183,2091625809510547,1,14,tailcalls,,0,67,pool-12-thread-2,149851364,0,146970936,150000000,9618472,435096112 
main,2091625809638073,2091626553886325,1,15,specialize,,0,67,pool-12-thread-2,744248252,0,719602232,720000000,73562280,509562616 
main,2091626554010249,2091626736843739,1,16,explicitouter,,0,67,pool-12-thread-2,182833490,0,180497872,180000000,18219040,528179176 
GC,2091627697230471,2091627771230471,27697, 27770,PS Scavenge,end of minor GC,Allocation Failure,4
main,2091626736985142,2091628747674865,1,17,erasure,,0,67,pool-12-thread-2,2010689723,0,1911526180,1900000000,161758712,301492392 
main,2091628747812154,2091628868923502,1,18,posterasure,,0,67,pool-12-thread-2,121111348,0,120500645,120000000,12739504,309633816 
main,2091628869072909,2091629145274307,1,19,lambdalift,,0,67,pool-12-thread-2,276201398,0,273378941,270000000,19605760,334327168 
main,2091629145405206,2091629373133594,1,20,constructors,,0,67,pool-12-thread-2,227728388,0,211731188,210000000,15893776,352623616 
